id,name,stock,New/Used,Vin,year,make,model,Series,body,color,intcolor,Price,miles,transmission,engine,restraint,photourl,comments,options
10583,Roush Honda,00A398B,Used,1HGCM66833A033642,2003,Honda,Accord,3.0 EXVL,Sedan,Gray,Gray,12995,87566,A,3.0L V6 SOHC,,http://photo1.diamondlot.com/640x480/7373466_640x480.jpg;http://photo1.diamondlot.com/640x480/7373469_640x480.jpg;http://photo1.diamondlot.com/640x480/7373468_640x480.jpg;http://photo1.diamondlot.com/640x480/7373470_640x480.jpg;http://photo1.diamondlot.com/640x480/7373471_640x480.jpg;http://photo1.diamondlot.com/640x480/7373473_640x480.jpg;http://photo1.diamondlot.com/640x480/7373472_640x480.jpg;http://photo1.diamondlot.com/640x480/7373474_640x480.jpg;http://photo1.diamondlot.com/640x480/7373475_640x480.jpg,"     LOADED LEATHER NAVIGATION,CLEAN CARFAX, VERY WELL MAINTAINED! CALL WENDY LEWIS   THIS 2003 HONDA ACCORD IS FULLY LOADED WITH LEATHER, NAVIGATION,V6 ENGINE, HEATED SEATS, POWER SEAT, SUNROOF, ALLOYS, 6 DISC CHANGER, PLUS MORE!!! THIS VEHICLE IS VERY CLEAN, HAS A CLEAN CARFAX, FULLY SERVICED INSPECTED . CALL WENDY LEWIS OR EMAIL INTERNET@ROUSHHONDA.COM OR STOP IN TO OUR SHOWROOM AT 104 W SCHROCK RD AND  YOU MUST ASK FOR WENDY ","4 Wheel Disc Brakes,5 Passenger Seating,ABS,Air Conditioning,Alloy Wheels,AM/FM Stereo,Body Side Moldings,Bucket Seats,Child Safety Locks,Clock,Compact Disc Player,Cruise Control,Cup Holders,Dual Front Side Impact Airbags,Dual Zone Climate Control,Floor Mats,Four Wheel Independent Suspension,Front Reading Lights,Heated Seats,Intermittent Wipers,Leather,Leather Shift Knob,Leather Wrap Steering,Lumbar Support,Multiple Airbags,Navigation System,Outside Temperature Display,Overhead Airbag,Power Door Locks,Power Mirror,Power Moonroof,Power Seat,Power Windows,Rear Bench Seat,Rear Cargo Lamp,Rear Defrost,Speed-proportional Power Steering,Steering Wheel Audio Controls,Tachometer,Telescopic Steering Wheel,Tilt Wheel,Traction Control,Vanity Mirror,Ventilated Front Disc Brakes"
10583,Roush Honda,00A561B,Used,1HGCM81633A037241,2003,Honda,Accord,3.0 EX,Coupe,Sky Blue,Black,11985,85906,M,3.0L V6 SOHC,,http://photo1.diamondlot.com/640x480/7941428_640x480.jpg;http://photo1.diamondlot.com/640x480/7941436_640x480.jpg;http://photo1.diamondlot.com/640x480/7941434_640x480.jpg;http://photo1.diamondlot.com/640x480/7941431_640x480.jpg;http://photo1.diamondlot.com/640x480/7941438_640x480.jpg;http://photo1.diamondlot.com/640x480/7941440_640x480.jpg;http://photo1.diamondlot.com/640x480/7941444_640x480.jpg;http://photo1.diamondlot.com/640x480/7941445_640x480.jpg;http://photo1.diamondlot.com/640x480/7941446_640x480.jpg,,"4 Wheel Disc Brakes,6 CD Changer,ABS,Air Conditioning,Alloy Wheels,AM/FM Stereo,Bucket Seats,Clock,Compact Disc Player,Cruise Control,Cup Holders,Dual Front Side Impact Airbags,Dual Zone Climate Control,Four Wheel Independent Suspension,Front Reading Lights,Heated Seats,Intermittent Wipers,Leather,Leather Shift Knob,Leather Wrap Steering,Lumbar Support,Multiple Airbags,Outside Temperature Display,Overhead Airbag,Power Door Locks,Power Mirror,Power Moonroof,Power Seat,Power Steering,Power Windows,Rear Bench Seat,Rear Cargo Lamp,Rear Defrost,Speed-proportional Power Steering,Steering Wheel Audio Controls,Tachometer,Telescopic Steering Wheel,Tilt Wheel,Traction Control,Vanity Mirror,Ventilated Front Disc Brakes"
10583,Roush Honda,76A399A,Used,SHSRD78893U145647,2003,Honda,CR-V,EX,SUV,Neptune Blue,Gray / Black,12995,72459,A,2.4L I4 DOHC,,http://photo1.diamondlot.com/640x480/7910047_640x480.jpg;http://photo1.diamondlot.com/640x480/7910048_640x480.jpg;http://photo1.diamondlot.com/640x480/7910049_640x480.jpg;http://photo1.diamondlot.com/640x480/7910050_640x480.jpg;http://photo1.diamondlot.com/640x480/7910051_640x480.jpg;http://photo1.diamondlot.com/640x480/7910052_640x480.jpg;http://photo1.diamondlot.com/640x480/7910054_640x480.jpg;http://photo1.diamondlot.com/640x480/7910053_640x480.jpg;http://photo1.diamondlot.com/640x480/7910055_640x480.jpg," BLUE 2003 CRV EX WITH REALTIME 4 WHEEL DRIVE. $12,995 WITH 72,450 MILES. THIS ONE OWNER CRV HAS A ROUSH HONDA SERVICE HISTORY AND A CLEAN CARFAX VEHICLE HISTORY REPORT. FRESH OIL CHANGE WITH NEW FRONT AND REAR BRAKES CALL OR E-MAIL RICHARD BEARD (INTERNET@ROUSHHONDA.COM) ","4 Wheel Disc Brakes,ABS,Air Conditioning,Alloy Wheels,AM/FM Stereo,Body Side Moldings,Bucket Seats,Cassette Deck,Child Safety Locks,Clock,Compact Disc Player,Cruise Control,Cup Holders,Dual Front Side Impact Airbags,Floor Mats,Four Wheel Independent Suspension,Front Reading Lights,Intermittent Wipers,Multiple Airbags,Power Door Locks,Power Mirror,Power Moonroof,Power Windows,Rear Cargo Lamp,Rear Defrost,Rear Wiper,Speed-proportional Power Steering,Tachometer,Tilt Wheel,Vanity Mirror,Ventilated Front Disc Brakes"
10583,Roush Honda,54A160B,Used,2HKYF18433H516052,2003,Honda,Pilot,EX,SUV,Silver,Gray,12995,99600,A,3.5L V6 SOHC,,http://photo1.diamondlot.com/640x480/7941524_640x480.jpg;http://photo1.diamondlot.com/640x480/7941525_640x480.jpg;http://photo1.diamondlot.com/640x480/7941527_640x480.jpg;http://photo1.diamondlot.com/640x480/7941528_640x480.jpg;http://photo1.diamondlot.com/640x480/7941526_640x480.jpg;http://photo1.diamondlot.com/640x480/7941530_640x480.jpg;http://photo1.diamondlot.com/640x480/7941532_640x480.jpg;http://photo1.diamondlot.com/640x480/7941533_640x480.jpg;http://photo1.diamondlot.com/640x480/7941531_640x480.jpg,,"4 Wheel Disc Brakes,8 Passenger Seating,ABS,Air Conditioning,Alloy Wheels,AM/FM Stereo,Body Side Moldings,Bucket Seats,Cassette Deck,Child Safety Locks,Clock,Cloth Seats,Compact Disc Player,Cruise Control,Cup Holders,Dual Front Side Impact Airbags,Floor Mats,Four Wheel Independent Suspension,Front Reading Lights,Front Tow Hooks,Intermittent Wipers,Lumbar Support,Multiple Airbags,Outside Temperature Display,Power Door Locks,Power Mirror,Power Outlet,Power Seat,Power Steering,Power Windows,Rear Air,Rear Cargo Lamp,Rear Defrost,Rear Spoiler,Rear Wiper,Speed-proportional Power Steering,Steering Wheel Audio Controls,Tachometer,Tilt Wheel,Vanity Mirror,Ventilated Front Disc Brakes"
10583,Roush Honda,54A112A,Used,1HGES163X4L005896,2004,Honda,Civic,VP,Sedan,Green,Cashmere,8995,89370,A,1.7L I4 SOHC,,http://photo1.diamondlot.com/640x480/7773842_640x480.jpg;http://photo1.diamondlot.com/640x480/7773844_640x480.jpg;http://photo1.diamondlot.com/640x480/7773843_640x480.jpg;http://photo1.diamondlot.com/640x480/7773845_640x480.jpg;http://photo1.diamondlot.com/640x480/7773846_640x480.jpg;http://photo1.diamondlot.com/640x480/7773847_640x480.jpg;http://photo1.diamondlot.com/640x480/7773848_640x480.jpg;http://photo1.diamondlot.com/640x480/7773849_640x480.jpg;http://photo1.diamondlot.com/640x480/7773850_640x480.jpg,"     THIS 2004 CIVIC VP IS IN EXCELLENT CONDITION AND HAS BEEN MAINTAINED ON A REGULAR BASIS. GREAT VALUE AT $8995. DON'T DELAY!   We do it right, buy from the highest volume certified Honda dealer in our Midwest district and one of the top ten certified Honda dealers in the nation!!   It’s ready for you to come for test drive at our Used Car location at 104 W. Schrock Road.  For additional information please contact Vince Del Viscio at internet@roushhonda.com Roush Honda is 100% employee owned which means we all have a tangible, personal role in the long term success of our company. Experience what it's like to do business with people who don't just work here but have a genuine commitment to building our company on a foundation of repeat customers.                  CONTACT VINCE AT INTERNET@ROUSHHONDA.COM     CONTACT VINCE AT INTERNET@ROUSHHONDA.COM","Air Conditioning,AM/FM Stereo,Body Side Moldings,Bucket Seats,Child Safety Locks,Clock,Cloth Seats,Compact Disc Player,Cup Holders,Four Wheel Independent Suspension,Intermittent Wipers,Multiple Airbags,Power Outlet,Rear Bench Seat,Rear Cargo Lamp,Rear Defrost,Speed-proportional Power Steering,Tilt Wheel,Vanity Mirror,Ventilated Front Disc Brakes"
10583,Roush Honda,15A008A,Used,9BWBL61J944032654,2004,Volkswagen,Golf,GL,Hatchback,Midnight Black,Black,8995,34889,M,2.0L I4 SOHC,,http://photo1.diamondlot.com/640x480/7910118_640x480.jpg;http://photo1.diamondlot.com/640x480/7910119_640x480.jpg;http://photo1.diamondlot.com/640x480/7910121_640x480.jpg;http://photo1.diamondlot.com/640x480/7910120_640x480.jpg;http://photo1.diamondlot.com/640x480/7910125_640x480.jpg;http://photo1.diamondlot.com/640x480/7910127_640x480.jpg;http://photo1.diamondlot.com/640x480/7910128_640x480.jpg;http://photo1.diamondlot.com/640x480/7910129_640x480.jpg;http://photo1.diamondlot.com/640x480/7910130_640x480.jpg," STOP LOOK HERE! CALL RICHIE PHILLIPS NOW AND RESERVE THIS 2004 VW GOLF 6 SPEED! HERE IS THE REVIEW ON THIS CAR..Seats four comfortably, five for short trips. The great advantage of a hatchback, of course, is the amount of cargo space available with the rear seat folded, plus the ease of loading and unloading said cargo. The 2004 Volkswagen Golf's interior design speaks of quality and style, with an instrument panel that doesn't require a pilot's license to operate. Choice of 3-door or 5-door models adds to the Golf's versatility.PLEASE COME TO 104 WEST SCHROCK RD IN WESTERVILLE AND ASK FOR RICHIE PHILLIPS. internet@roushhonda.com ","4 Wheel Disc Brakes,ABS,Air Conditioning,AM/FM Stereo,Body Side Moldings,Bucket Seats,Cassette Deck,Clock,Cloth Seats,Compact Disc Player,Cup Holders,Daytime Running Lights,Dual Front Side Impact Airbags,Floor Mats,Front Reading Lights,Front Wheel Independent Suspension,Heated Side Mirrors,Intermittent Wipers,Multiple Airbags,Overhead Airbag,Power Door Locks,Power Mirror,Power Steering,Power Windows,Rear Bench Seat,Rear Cargo Lamp,Rear Defrost,Rear Wiper,Tachometer,Telescopic Steering Wheel,Tilt Wheel,Vanity Mirror,Ventilated Front Disc Brakes"
10583,Roush Honda,54A052A,Used,1HGCM564X5A059911,2005,Honda,Accord,2.4 LX,Sedan,Pearl White,Cashmere,11995,81590,A,2.4L I4 DOHC,,http://photo1.diamondlot.com/640x480/7548900_640x480.jpg;http://photo1.diamondlot.com/640x480/7548903_640x480.jpg;http://photo1.diamondlot.com/640x480/7548904_640x480.jpg;http://photo1.diamondlot.com/640x480/7548901_640x480.jpg;http://photo1.diamondlot.com/640x480/7548905_640x480.jpg;http://photo1.diamondlot.com/640x480/7548909_640x480.jpg;http://photo1.diamondlot.com/640x480/7548908_640x480.jpg;http://photo1.diamondlot.com/640x480/7548911_640x480.jpg;http://photo1.diamondlot.com/640x480/7548910_640x480.jpg," STOP LOOK HERE! CALL RICHIE PHILLIPS RIGHT AWAY ON THIS EXCELLENT DEAL! 2005 HONDA ACCORD's ARE HARD TO FIND BECAUSE OF THE PRICE RANGE. THIS IS A 4 DOOR, AUTOMATIC WITH POWER WINDOWS AND POWER DOOR LOCKS. THIS ALSO HAS CD PLAYER. PLEASE COME TO THE 104 WEST SCHROCK RD IN WESTERVILLE AND ASK FOR RICHIE PHILLIPS. internet@roushhonda.com ","5 Passenger Seating,ABS,Air Conditioning,AM/FM Stereo,Body Side Moldings,Bucket Seats,Child Safety Locks,Clock,Cloth Seats,Compact Disc Player,Cruise Control,Cup Holders,Dual Front Side Impact Airbags,Floor Mats,Four Wheel Independent Suspension,Front Reading Lights,Intermittent Wipers,Multiple Airbags,Overhead Airbag,Power Door Locks,Power Mirror,Power Windows,Rear Bench Seat,Rear Cargo Lamp,Rear Defrost,Speed-proportional Power Steering,Tachometer,Telescopic Steering Wheel,Tilt Wheel,Vanity Mirror,Ventilated Front Disc Brakes"
10583,Roush Honda,86B091A,Used,JHLRD78945C034751,2005,Honda,CR-V,SE,SUV,Tuxedo Black,Black,14395,94117,A,2.4L I4 DOHC,,http://photo1.diamondlot.com/640x480/7941396_640x480.jpg;http://photo1.diamondlot.com/640x480/7941395_640x480.jpg;http://photo1.diamondlot.com/640x480/7941394_640x480.jpg;http://photo1.diamondlot.com/640x480/7941397_640x480.jpg;http://photo1.diamondlot.com/640x480/7941402_640x480.jpg;http://photo1.diamondlot.com/640x480/7941401_640x480.jpg;http://photo1.diamondlot.com/640x480/7941403_640x480.jpg;http://photo1.diamondlot.com/640x480/7941410_640x480.jpg;http://photo1.diamondlot.com/640x480/7941412_640x480.jpg,,"4 Wheel Disc Brakes,5 Passenger Seating,6 CD Changer,ABS,Air Conditioning,Alloy Wheels,AM/FM Stereo,Automatic Stability Control,Body Side Moldings,Bucket Seats,Cassette Deck,Child Safety Locks,Clock,Compact Disc Player,Cruise Control,Cup Holders,Dual Front Side Impact Airbags,Floor Mats,Four Wheel Independent Suspension,Front Reading Lights,Front Wheel Independent Suspension,Heated Seats,Heated Side Mirrors,Intermittent Wipers,Leather,Leather Shift Knob,Leather Wrap Steering,Multiple Airbags,Outside Temperature Display,Overhead Airbag,Power Door Locks,Power Mirror,Power Moonroof,Power Steering,Power Sunroof,Power Windows,Rear Cargo Lamp,Rear Defrost,Rear Wiper,Speed-proportional Power Steering,Steering Wheel Audio Controls,Tachometer,Tilt Wheel,Traction Control,Vanity Mirror,Ventilated Front Disc Brakes"
10583,Roush Honda,00A638S,Used,2HNYD186X6H539696,2006,Acura,MDX,3.5L,SUV,Silver,Gray,21995,57549,A,3.5L V6 SOHC,,http://photo1.diamondlot.com/640x480/7890480_640x480.jpg;http://photo1.diamondlot.com/640x480/7890487_640x480.jpg;http://photo1.diamondlot.com/640x480/7890490_640x480.jpg;http://photo1.diamondlot.com/640x480/7890491_640x480.jpg;http://photo1.diamondlot.com/640x480/7890492_640x480.jpg;http://photo1.diamondlot.com/640x480/7890494_640x480.jpg;http://photo1.diamondlot.com/640x480/7890501_640x480.jpg;http://photo1.diamondlot.com/640x480/7890503_640x480.jpg;http://photo1.diamondlot.com/640x480/7890506_640x480.jpg," WOW WHAT A BUY A 06 ACURA MDX TOURING!! ONLY 57K MILEAGE PRICED TO SELL!!!MUST CALL WENDY LEWIS    THIS 2006 ACURA MDX IS VERY CLEAN AND PRICED TO SELL! 4WD FULLY SERVICED AND INSPECTED . FRESH OIL CHANGE, AIR FILTER, BALANCE TIRES. THIS VEHICLE HAS SUN ROOF , ALLOYS, LEATHER HEATED SEATS, AND MUCH MORE DONT MISS OUT CALL WENDY LEWIS NOW OR EMAIL INTERNET@ROUSHHONDA.COM  OR STOP IN TO THE SHOWROOM AT 104 W SHCROCK RD LOCATION BUT YOU MUST ASK FOR WENDY LEWIS ","4 Wheel Disc Brakes,7 Passenger Seating,ABS,Air Conditioning,Alloy Wheels,AM/FM Stereo,Automatic Stability Control,Bluetooth Wireless,Bucket Seats,Child Safety Locks,Clock,Compact Disc Player,Compass,Cruise Control,Cup Holders,Dual Front Side Impact Airbags,Fog/Driving Lamps,Four Wheel Independent Suspension,Front Reading Lights,Front Tow Hooks,Heated Seats,Heated Side Mirrors,HomeLink System,Intermittent Wipers,Leather,Leather Wrap Steering,Low Tire Pressure Warning,Lumbar Support,Memory Seats,Multiple Airbags,Outside Temperature Display,Overhead Airbag,Power Door Locks,Power Mirror,Power Moonroof,Power Outlet,Power Seat,Power Windows,Rain Sensor Wipers,Rear Air,Rear Cargo Lamp,Rear Defrost,Rear Wiper,Roof Rack,Satellite Radio,Speed-proportional Power Steering,Steering Wheel Audio Controls,Tachometer,Tilt Wheel,Traction Control,Trip Computer,Vanity Mirror,Ventilated Front Disc Brakes,Wireless Connectivity"
10583,Roush Honda,66A006B,Used,1HGCM66536A017662,2006,Honda,Accord,3.0 EX,Sedan,Gray,Black,17995,45845,A,3.0L V6 SOHC,,http://photo1.diamondlot.com/640x480/7811298_640x480.jpg;http://photo1.diamondlot.com/640x480/7811301_640x480.jpg;http://photo1.diamondlot.com/640x480/7811302_640x480.jpg;http://photo1.diamondlot.com/640x480/7811303_640x480.jpg;http://photo1.diamondlot.com/640x480/7811308_640x480.jpg;http://photo1.diamondlot.com/640x480/7811309_640x480.jpg;http://photo1.diamondlot.com/640x480/7811312_640x480.jpg;http://photo1.diamondlot.com/640x480/7811310_640x480.jpg;http://photo1.diamondlot.com/640x480/7811316_640x480.jpg,"     VERY NICE AND WELL MAINTAINED 2006 ACCORD EXVL. CERTIFIED POWER TRAIN WARRANTY UNTIL 11/18/2012 OR 100,000 MILES NAD A 12 MONTH OR 12,000 NON POWER TRAIN WARRANTY.  http://automobiles.honda.com/certified-used/warranty.aspx   NEW BRAKES, OIL AND FILTER AND  WIPER BLADES. CLEAN CARFAX, 2 OWNER ACCORD LEATHER V6.   We do it right, buy from the highest volume certified Honda dealer in our Midwest district and one of the top ten certified Honda dealers in the nation!!   It’s ready for you to come for test drive at our Used Car location at 104 W. Schrock Road.  For additional information please contact Vince Del Viscio at internet@roushhonda.com","4 Wheel Disc Brakes,5 Passenger Seating,ABS,Air Conditioning,Alloy Wheels,AM/FM Stereo,Automatic Stability Control,Body Side Moldings,Bucket Seats,Child Safety Locks,Clock,Compact Disc Player,Cruise Control,Cup Holders,Daytime Running Lights,Dual Front Side Impact Airbags,Dual Zone Climate Control,Floor Mats,Four Wheel Independent Suspension,Front Reading Lights,Heated Seats,Heated Side Mirrors,HomeLink System,Intermittent Wipers,Leather,Leather Shift Knob,Leather Wrap Steering,Lumbar Support,Multiple Airbags,Outside Temperature Display,Overhead Airbag,Power Door Locks,Power Mirror,Power Moonroof,Power Seat,Power Windows,Rear Bench Seat,Rear Cargo Lamp,Rear Defrost,Satellite Radio,Speed-proportional Power Steering,Steering Wheel Audio Controls,Tachometer,Telescopic Steering Wheel,Tilt Wheel,Traction Control,Vanity Mirror,Ventilated Front Disc Brakes"
