Dealer	StockNo	VIN	NewUsed	Year	Make	Model	Style	Engine	Transmission	ExtColor	IntColor	Mileage	Price	Accessories	Comments	Images
Cars Unlimited Inc	2709	4S4BT62C337115290	Used	2003	Subaru	Baja	Sport AWD 4dr Crew Cab	2.5L 4-Cylinder	Automatic	Silver		42561	15990	Air Conditioning, AM/FM CD Audio System, Cruise Control, Daytime Running Lights, Differential Limslip - Center And Rear, Fog Lights, Front Center Console with Storage, Intermittent Wipers, Power Door Locks, Power Glass Sunroof, Power Mirrors, Power Steering, Power Windows, Privacy Glass, Roof Rack, Steering Wheel Tilt Adjustable, Tachometer, Vinyl Upholstery	All Wheel Drive  Thank you for considering Cars Unlimited, Inc for your next purchase.  We have been serving the Ashland areas for over 14 years.  Our business is based on honesty, and integrity, and total commitment to our customers before and after the sale.  Our vehicles are carefully hand picked.  Most of our inventory is off leased vehicles or local trades.  We also deal with hard-to-find vehicles, and will locate any specific vehicle for our customers.  Give us a call today and find out for yourself why we truly are the AREA’S #1 USED CAR RESOURCE.	http://66.219.133.230/cui/cui-0175_1.jpg, http://66.219.133.230/cui/cui-0175_2.jpg, http://66.219.133.230/cui/cui-0175_3.jpg, http://66.219.133.230/cui/cui-0175_4.jpg, http://66.219.133.230/cui/cui-0175_5.jpg, http://66.219.133.230/cui/cui-0175_6.jpg, http://66.219.133.230/cui/cui-0175_7.jpg
Cars Unlimited Inc	2798	1FMZU73KX3UB43922	Used	2003	Ford	Explorer 4WD	4dr Wagon XLT	V6	Automatic	Gray		64760	13490	AM/FM Stereo, CD Player, Air Conditioning, Cruise Control, Tilt Steering Wheel, Vanity Mirrors, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Inside Hood Release, Privacy Glass, Rear Window Defroster, Rear Window Wiper, Tinted Glass	Thank you for considering Cars Unlimited, Inc for your next purchase.  We have been serving the Ashland areas for over 13 years.  Our business is based on honesty, and integrity, and total commitment to our customers before and after the sale.  Our vehicles are carefully hand picked.  Most of our inventory is off leased vehicles or local trades.  We also deal with hard-to-find vehicles, and will locate any specific vehicle for our customers.  Give us a call today and find out for yourself why we truly are the AREA’S #1 USED CAR RESOURCE.	http://66.219.133.230/cui/cui-0307_1.jpg, http://66.219.133.230/cui/cui-0307_2.jpg, http://66.219.133.230/cui/cui-0307_3.jpg, http://66.219.133.230/cui/cui-0307_4.jpg, http://66.219.133.230/cui/cui-0307_5.jpg, http://66.219.133.230/cui/cui-0307_6.jpg, http://66.219.133.230/cui/cui-0307_7.jpg, http://66.219.133.230/cui/cui-0307_8.jpg, http://66.219.133.230/cui/cui-0307_9.jpg
Cars Unlimited Inc	2805	3GNEK13T52G268740	Used	2002	Chevrolet	Avalanche	1500 4dr Crew Cab 4WD	5.3L 8-Cylinder	Automatic	Forest Green Metallic		75000	15990	Air Conditioning, Airbags Front Side-mounted, AM/FM CD Audio System, Anti-theft Alarm System, Automatic Locking Hubs, Center Differential - Locking, Cloth Upholstery, Cruise Control, Daytime Running Lights, Driver Seat 8-way Power, Fog Lights, Front Center Console with Storage, Intermittent Wipers, Overhead Console, Power Door Locks, Power Steering, Power Windows, Privacy Glass, Rear Defogger, Rearview Mirror Auto-dimming, Split-bench Front Seats, Split-bench Rear Seat, Steering Wheel Leather Wrapped, Steering Wheel Tilt Adjustable, Tachometer	Thank you for considering Cars Unlimited, Inc for your next purchase.  We have been serving the Ashland areas for over 14 years.  Our business is based on honesty, and integrity, and total commitment to our customers before and after the sale.  Our vehicles are carefully hand picked.  Most of our inventory is off leased vehicles or local trades.  We also deal with hard-to-find vehicles, and will locate any specific vehicle for our customers.  Give us a call today and find out for yourself why we truly are the AREAS #1 USED CAR RESOURCE.	http://66.219.133.230/cui/cui-0325_1.jpg, http://66.219.133.230/cui/cui-0325_2.jpg, http://66.219.133.230/cui/cui-0325_3.jpg, http://66.219.133.230/cui/cui-0325_4.jpg, http://66.219.133.230/cui/cui-0325_5.jpg, http://66.219.133.230/cui/cui-0325_6.jpg, http://66.219.133.230/cui/cui-0325_7.jpg, http://66.219.133.230/cui/cui-0325_8.jpg, http://66.219.133.230/cui/cui-0325_9.jpg
Cars Unlimited Inc	2825	WVWAK73CX6P096510	Used	2006	Volkswagen	Passat	Sedan	4 Cyl	Automatic	Met Green	Tan	13500	18990	AM/FM Stereo, Air Conditioning, Center Arm Rest, Center Console, Cruise Control, Interval Wipers, Keyless Entry, Vanity Mirrors, Tachometer, Trip Odometer, Map Lights, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Inside Hood Release, Anti-Lock Brakes, Heated Front Seats, Leather Seats, Power Drivers Seat, Power Seats, Alloy Wheels	Moonroof!  Thank you for considering Cars Unlimited, Inc for your next purchase.  We have been serving the Ashland areas for over 14 years.  Our business is based on honesty, and integrity, and total commitment to our customers before and after the sale.  Our vehicles are carefully hand picked.  Most of our inventory is off leased vehicles or local trades.  We also deal with hard-to-find vehicles, and will locate any specific vehicle for our customers.  Give us a call today and find out for yourself why we truly are the AREA’S #1 USED CAR RESOURCE.	http://66.219.133.230/cui/cui-0340_1.jpg, http://66.219.133.230/cui/cui-0340_2.jpg, http://66.219.133.230/cui/cui-0340_3.jpg, http://66.219.133.230/cui/cui-0340_4.jpg, http://66.219.133.230/cui/cui-0340_5.jpg, http://66.219.133.230/cui/cui-0340_6.jpg, http://66.219.133.230/cui/cui-0340_7.jpg, http://66.219.133.230/cui/cui-0340_8.jpg
Cars Unlimited Inc	2824	3A4FY48B86T308006	Used	2006	Chrysler	PT Cruiser	4dr Wagon	2.4L 4-Cylinder	4-Speed Automatic	Cool Vanilla Clearcoat	Pastel Slate Gray cloth	3675	11990	Air Conditioning, Airbags Occupant Sensing Deactivation, AM/FM CD Player CD-controller, Brakes - Front Disc / Rear Drum, Bucket Front Seats, Cargo Area Light, Child Safety Locks, Cloth Upholstery, Depowered Airbags, Engine Immobilizer, Front Center Console with Storage, Intermittent Wipers, Low Fuel Level Indicator, Power Outlets - 12V Front, Power Steering, Power Windows, Rear Defogger, Rear Folding Seats, Rear Spoiler, Rear Wiper, Remote Mirrors - Remote Driver And Passenger, Removable Split-bench Rear Seat, Retained Accessory Power, Steering Wheel Tilt Adjustable, Tachometer	Factory Warranty!  Thank you for considering Cars Unlimited, Inc for your next purchase. We have been serving the Ashland areas for over 14 years. Our business is based on honesty, and integrity, and total commitment to our customers before and after the sale. Our vehicles are carefully hand picked. Most of our inventory is off leased vehicles or local trades. We also deal with hard-to-find vehicles, and will locate any specific vehicle for our customers. Give us a call today and find out for yourself why we truly are the AREA’S #1 USED CAR RESOURCE.	http://66.219.133.230/cui/cui-0349_1.jpg, http://66.219.133.230/cui/cui-0349_2.jpg, http://66.219.133.230/cui/cui-0349_3.jpg, http://66.219.133.230/cui/cui-0349_4.jpg, http://66.219.133.230/cui/cui-0349_5.jpg, http://66.219.133.230/cui/cui-0349_6.jpg
Cars Unlimited Inc	3847	KL1TD52664B238520	Used	2004	Chevrolet	Aveo	4dr Sdn Base	4CYL	Automatic	RED	GRAY	33138	8990		X-TRA CLEAN!  Thank you for considering Cars Unlimited, Inc for your next purchase. We have been serving the Ashland areas for over 14 years. Our business is based on honesty, and integrity, and total commitment to our customers before and after the sale. Our vehicles are carefully hand picked. Most of our inventory is off leased vehicles or local trades. We also deal with hard-to-find vehicles, and will locate any specific vehicle for our customers. Give us a call today and find out for yourself why we truly are the AREA’S #1 USED CAR RESOURCE. 	http://66.219.133.230/cui/cui-0364_1.jpg, http://66.219.133.230/cui/cui-0364_2.jpg, http://66.219.133.230/cui/cui-0364_3.jpg, http://66.219.133.230/cui/cui-0364_4.jpg, http://66.219.133.230/cui/cui-0364_5.jpg, http://66.219.133.230/cui/cui-0364_6.jpg, http://66.219.133.230/cui/cui-0364_7.jpg, http://66.219.133.230/cui/cui-0364_8.jpg
Cars Unlimited Inc	CUI-0370	2C4GP54L35R101767	Used	2005	Chrysler	Town and Country	Touring		Automatic	BUTANE BLUE	GRAY	32996	14990	Air Conditioning, Center Console, Cruise Control, Floor Mats, Interval Wipers, Keyless Entry, Leather Steering Wheel, Rear Air, Tilt Steering Wheel, Vanity Mirrors, Roof Rack, Tachometer, Trip Odometer, Map Lights, Power Brakes, Power Door Locks, Power Mirrors, Power Steering, Power Windows, Inside Hood Release, Privacy Glass, Rear Window Defroster, Rear Window Wiper, Tinted Glass, Traction Control, Cloth Upholstery, Front Bucket Seats, Power Drivers Seat, All Season Tires, Alloy Wheels	Low Miles!  	http://66.219.133.230/cui/cui-0370_1.jpg, http://66.219.133.230/cui/cui-0370_2.jpg, http://66.219.133.230/cui/cui-0370_3.jpg, http://66.219.133.230/cui/cui-0370_4.jpg, http://66.219.133.230/cui/cui-0370_5.jpg, http://66.219.133.230/cui/cui-0370_6.jpg, http://66.219.133.230/cui/cui-0370_7.jpg
Cars Unlimited Inc	123	1G6DW677360122904	Used	2006	Cadillac	STS	V6 4dr Sedan	3.6L 6-Cylinder	Automatic	Black Raven	Ebony leather	24123	27990	18" Polished Aluminum Wheels, Airbags Dual Front Side-mounted, AM/FM CD Audio System, Anti-Lock Brakes, Brakes - Front and Rear Disc, Braking Assist, Bucket Front Seats, Center Console Trim - Alloy, Child Safety Locks, Compass, Cruise Control, Daytime Running Lights, Driver Seat 8-way Power, Dual Zone Climate Controls, External Temp, Fog Lights, Front Center Console with Storage, Headlights Auto Delay Off, Headlights Dusk Sensing, Intermittent Wipers, Leather Upholstery, Mirrors Auto Dimming - Electrochromatic Mirror Driver Only, OnStar, Power Door Locks, Power Mirrors, Power Windows, Premium Bose Audio System, Reading Lights, Rear Center Armrest with Storage, Rear Defogger, Rearview Mirror Electrochromatic, Remote Anti-theft Alarm System, Remote Trunk Release, Speed-proportional Power Steering, Stability Control, Steering Wheel Leather Wrapped, Steering Wheel Tilt and Telescopic, Traction Control, Trip Computer, Trunk Light	SAVE THOUSANDS!  Thank you for considering Cars Unlimited, Inc for your next purchase.  We have been serving the Ashland areas for over 14 years.  Our business is based on honesty, and integrity, and total commitment to our customers before and after the sale.  Our vehicles are carefully hand picked.  Most of our inventory is off leased vehicles or local trades.  We also deal with hard-to-find vehicles, and will locate any specific vehicle for our customers.  Give us a call today and find out for yourself why we truly are the AREA’S #1 USED CAR RESOURCE.	http://66.219.133.230/cui/cui-0400_1.jpg, http://66.219.133.230/cui/cui-0400_2.jpg, http://66.219.133.230/cui/cui-0400_3.jpg, http://66.219.133.230/cui/cui-0400_4.jpg
Cars Unlimited Inc	3891	2T1BR32E06C687035	Used	2006	Toyota	Corolla	4dr Sdn LE Auto		Automatic	SILVER	GRAY	23306	13990		GREAT FUEL MILEAGE!  Thank you for considering Cars Unlimited, Inc for your next purchase.  We have been serving the Ashland areas for over 14 years.  Our business is based on honesty, and integrity, and total commitment to our customers before and after the sale.  Our vehicles are carefully hand picked.  Most of our inventory is off leased vehicles or local trades.  We also deal with hard-to-find vehicles, and will locate any specific vehicle for our customers.  Give us a call today and find out for yourself why we truly are the AREA’S #1 USED CAR RESOURCE.	http://66.219.133.230/cui/cui-0403_1.jpg, http://66.219.133.230/cui/cui-0403_2.jpg, http://66.219.133.230/cui/cui-0403_3.jpg, http://66.219.133.230/cui/cui-0403_4.jpg, http://66.219.133.230/cui/cui-0403_5.jpg, http://66.219.133.230/cui/cui-0403_6.jpg, http://66.219.133.230/cui/cui-0403_7.jpg, http://66.219.133.230/cui/cui-0403_8.jpg
Cars Unlimited Inc	3893	3N1CB51D56L522756	Used	2006	Nissan	Sentra	1.8 S 4dr Sedan	1.8L 4-Cylinder	Automatic	Jaded Metallic	 premium cloth	26508	12490	1.8S Special Edition Package, Air Conditioning, AM/FM CD Audio System, Audio System 100 Watts, Bench Rear Seat, Brakes - Front Disc / Rear Drum, Bucket Front Seats, Child Safety Locks, Cloth Upholstery, Cruise Control, Depowered Airbags, External Temp, Front Center Console with Storage, Intermittent Wipers, Low Fuel Level Indicator, Overhead Console, Power Door Locks, Power Mirrors, Power Outlets - 12V Front And 12V Rear, Power Windows, Reading Lights, Rear Defogger, Rear Folding Seats, Remote Trunk Release, Speed-proportional Power Steering, Steering Wheel Ctrl - Cruise Controls, Steering Wheel Tilt Adjustable, Tachometer, Trip Computer, Trunk Light	FUEL SAVER!  Thank you for considering Cars Unlimited, Inc for your next purchase.  We have been serving the Ashland areas for over 14 years.  Our business is based on honesty, and integrity, and total commitment to our customers before and after the sale.  Our vehicles are carefully hand picked.  Most of our inventory is off leased vehicles or local trades.  We also deal with hard-to-find vehicles, and will locate any specific vehicle for our customers.  Give us a call today and find out for yourself why we truly are the AREA’S #1 USED CAR RESOURCE.	http://66.219.133.230/cui/cui-0405_1.jpg, http://66.219.133.230/cui/cui-0405_2.jpg, http://66.219.133.230/cui/cui-0405_3.jpg, http://66.219.133.230/cui/cui-0405_4.jpg, http://66.219.133.230/cui/cui-0405_5.jpg, http://66.219.133.230/cui/cui-0405_6.jpg, http://66.219.133.230/cui/cui-0405_7.jpg, http://66.219.133.230/cui/cui-0405_8.jpg
