dealerID,stockno,year,vin,new/used,make,model,series,modelnum,body,mileage,extcolor,intcolor,transmission,doors,askingprice,MSRP,invoice,daysinstock,certified,engine,fuelcode,drivetrain,restraint,dealercomment,vehiclecomment,packagecode,ImageURLs,options,Video
"474","88039A","2006","WBAVB13596KX51170","U","BMW","3-Series ","325i 4dr Sdn RWD ","","","24355","Titanium Silver Metallic","Black","","4","29988.0000","","","25","No","3.0 L I6 Cyl.","","","Dual Front Air Bags"," ","","","http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WBAVB13596KX5117001.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WBAVB13596KX5117002.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WBAVB13596KX5117003.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WBAVB13596KX5117004.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WBAVB13596KX5117005.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WBAVB13596KX5117006.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WBAVB13596KX5117007.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WBAVB13596KX5117008.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WBAVB13596KX5117009.jpg,","4 Wheel Disc Brakes,Garage Door Opener,Auto Adjusting Rear View Mirror,Air Conditioning,Auto Climate Control,Rear Defrost,Dual Climate Control,Keyless Entry,Power Drivers Seat,Driver Memory Seat,Heated Front Seats,Power Passenger Seat,Heated Seats,Rear Arm Rest,AM/FM Stereo,Steering Wheel Stereo Controls,Compact Disk Player,Power Sunroof,Alloy Wheels,Trip Odometer,Driver Air Bag,Passenger Air Bag,Head Air Bags,Rear Passenger Air Bags,Child Seat Anchors,Window Locks,Rear Shoulder Harness,Intermittent Wipers,Power Brakes,Power Mirrors,Power Steering,Power Locks,Power Windows,Tilt Steering,Telescopic Wheel,Cruise Control,Bucket Seats,Center Arm Rest,Console,Tachometer,Reading Lights,Clock,Cup Holders,Lighted Make-Up Mirror,Map Pockets,5 Passenger Seating",""
"474","87906","2006","WDDDJ75X76A046320","U","Mercedes-Benz","CLS Class ","4dr Sdn 5.0L ","","","5337","Alabaster White","Cashmere Beige","","4","64988.0000","","","25","Yes","5.0 L 8 Cyl. Cyl.","","","Dual Front and Side Air Bags"," ","","","http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDDDJ75X76A04632001.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDDDJ75X76A04632002.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDDDJ75X76A04632003.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDDDJ75X76A04632004.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDDDJ75X76A04632005.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDDDJ75X76A04632006.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDDDJ75X76A04632007.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDDDJ75X76A04632008.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDDDJ75X76A04632009.jpg,","Certified Used Car,4 Wheel Disc Brakes,Auto Adjusting Rear View Mirror,Air Conditioning,Auto Climate Control,Rear Defrost,Dual Climate Control,Keyless Entry,Leather Seats,Power Drivers Seat,Driver Memory Seat,Passenger Memory Seat,Power Passenger Seat,Rear Arm Rest,Rear Concole,AM/FM Stereo,Steering Wheel Stereo Controls,Compact Disk Player,Harmon Kardon Surround Sound,Power Sunroof,Alloy Wheels,Trip Odometer,Trip Computer,Driver Air Bag,Passenger Air Bag,Side Air Bags,Rear Passenger Air Bags,Child Seat Anchors,Window Locks,Rear Shoulder Harness,Power Brakes,Power Mirrors,Power Steering,Power Locks,Power Windows,Tilt Steering,Telescopic Wheel,Cruise Control,Bucket Seats,Center Arm Rest,Console,Dual Exhaust,Body Side Molding,Tachometer,Reading Lights,Clock,Cup Holders,Lighted Make-Up Mirror,Map Pockets",""
"474","82900","2007","WDBUF87XX7X210025","U","Mercedes-Benz","E Class ","4dr Sdn 3.5L 4MATIC AWD ","","","6382","Granite Grey Metallic","Black","","4","52988.0000","","","25","Yes","3.5 L V6 Cyl.","","All Wheel Drive","Dual Front and Side Air Bags"," ","","","http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBUF87XX7X21002501.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBUF87XX7X21002502.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBUF87XX7X21002503.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBUF87XX7X21002504.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBUF87XX7X21002505.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBUF87XX7X21002506.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBUF87XX7X21002507.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBUF87XX7X21002508.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBUF87XX7X21002509.jpg,","Certified Used Car,4 Wheel Disc Brakes,Garage Door Opener,GPS Navigation System,Auto Adjusting Rear View Mirror,Air Conditioning,All Wheel Drive,Auto Climate Control,Rear Defrost,Dual Climate Control,Keyless Entry,Inside Trunk Release,Leather Seats,Power Drivers Seat,Driver Memory Seat,Passenger Memory Seat,Heated Front Seats,Power Passenger Seat,Heated Seats,Rear Arm Rest,AM/FM Stereo,Steering Wheel Stereo Controls,Compact Disk Player,Harmon Kardon Surround Sound,Power Sunroof,Alloy Wheels,Trip Odometer,Driver Air Bag,Passenger Air Bag,Side Air Bags,Rear Passenger Air Bags,Child Seat Anchors,Window Locks,Rear Shoulder Harness,Power Brakes,Power Mirrors,Power Steering,Power Locks,Power Windows,Tilt Steering,Telescopic Wheel,Cruise Control,Bucket Seats,Center Arm Rest,Console,Body Side Molding,Tachometer,Reading Lights,Clock,Cup Holders,Lighted Make-Up Mirror,Map Pockets,5 Passenger Seating",""
"474","88049A","2007","4JGBB86E97A224713","U","Mercedes-Benz","M Class ","4WD 4dr 3.5L ","","","2322","Iridium Silver Metallic","Black","","4","47988.0000","","","25","No","3.5 L V6 Cyl.","","4 Wheel Drive","Dual Front and Side Air Bags"," ","","","http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGBB86E97A22471301.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGBB86E97A22471302.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGBB86E97A22471303.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGBB86E97A22471304.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGBB86E97A22471305.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGBB86E97A22471306.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGBB86E97A22471307.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGBB86E97A22471308.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGBB86E97A22471309.jpg,","Warranty,4 Wheel Disc Brakes,Garage Door Opener,Auto Adjusting Rear View Mirror,Air Conditioning,4 Wheel Drive,Auto Climate Control,Rear Defrost,Tinted Glass,Dual Climate Control,Keyless Entry,Power Drivers Seat,Driver Memory Seat,Passenger Memory Seat,Heated Front Seats,Power Passenger Seat,Heated Seats,Rear Arm Rest,AM/FM Stereo,Steering Wheel Stereo Controls,Compact Disk Player,Harmon Kardon Surround Sound,Power Sunroof,Alloy Wheels,Trip Odometer,Trip Computer,Driver Air Bag,Passenger Air Bag,Side Air Bags,Rear Passenger Air Bags,Child Seat Anchors,Window Locks,Rear Shoulder Harness,Power Brakes,Power Mirrors,Power Steering,Power Locks,Power Windows,Tilt Steering,Cruise Control,Bucket Seats,Center Arm Rest,Console,Running Boards,Dual Exhaust,Body Side Molding,Tachometer,Reading Lights,Clock,Cup Holders,Lighted Make-Up Mirror,Map Pockets,Tow Hitch,5 Passenger Seating",""
"474","82941","2007","4JGBB86E27A178710","N","Mercedes-Benz","M Class ","4WD 4dr 3.5L ","","","6642","Black","Black","","4","47988.0000","","","25","No","3.5 L V6 Cyl.","","4 Wheel Drive","Dual Front and Side Air Bags"," ","","","http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGBB86E27A17871001.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGBB86E27A17871002.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGBB86E27A17871003.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGBB86E27A17871004.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGBB86E27A17871005.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGBB86E27A17871006.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGBB86E27A17871007.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGBB86E27A17871008.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGBB86E27A17871009.jpg,","4 Wheel Disc Brakes,Garage Door Opener,Air Conditioning,4 Wheel Drive,Auto Climate Control,Rear Defrost,Tinted Glass,Dual Climate Control,Keyless Entry,Power Drivers Seat,Heated Front Seats,Power Passenger Seat,Heated Seats,Rear Arm Rest,AM/FM Stereo,Compact Disk Player,Harmon Kardon Surround Sound,Power Sunroof,Alloy Wheels,Trip Odometer,Trip Computer,Driver Air Bag,Passenger Air Bag,Side Air Bags,Rear Passenger Air Bags,Child Seat Anchors,Window Locks,Rear Shoulder Harness,Rear Wiper,Power Brakes,Power Mirrors,Power Steering,Power Locks,Power Windows,Tilt Steering,Telescopic Wheel,Cruise Control,Bucket Seats,Center Arm Rest,Console,Running Boards,Dual Exhaust,Body Side Molding,Tachometer,Reading Lights,Clock,Cup Holders,Lighted Make-Up Mirror,Map Pockets,5 Passenger Seating",""
"474","82800","2006","4JGCB65E06A020178","U","Mercedes-Benz","R Class ","4dr 4WD 3.5L ","","","3569","Pewter Metallic","Black","","4","43988.0000","","","25","Yes","3.5 L V6 Cyl.","","4 Wheel Drive","Dual Front and Side Air Bags"," ","","","http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGCB65E06A02017801.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGCB65E06A02017802.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGCB65E06A02017803.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGCB65E06A02017804.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGCB65E06A02017805.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGCB65E06A02017806.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGCB65E06A02017807.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGCB65E06A02017808.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/4JGCB65E06A02017809.jpg,","Certified Used Car,4 Wheel Disc Brakes,Garage Door Opener,Auto Adjusting Rear View Mirror,Air Conditioning,4 Wheel Drive,Auto Climate Control,Rear Defrost,Dual Climate Control,Rear Air Conditioning,Keyless Entry,Power Drivers Seat,Driver Memory Seat,Passenger Memory Seat,Heated Front Seats,Power Passenger Seat,Heated Rear Seats,Heated Seats,Third Row Seat,AM/FM Stereo,Steering Wheel Stereo Controls,Compact Disk Player,Power Sunroof,Alloy Wheels,Trip Odometer,Trip Computer,Driver Air Bag,Passenger Air Bag,Side Air Bags,Child Seat Anchors,Window Locks,Rear Shoulder Harness,Power Brakes,Power Mirrors,Power Steering,Power Locks,Power Windows,Tilt Steering,Telescopic Wheel,Cruise Control,Bucket Seats,Center Arm Rest,Console,Body Side Molding,Tachometer,Reading Lights,Clock,Cup Holders,Lighted Make-Up Mirror,Map Pockets,6 Passenger Seating",""
"474","88044A","2004","WDBNG84J84A411163","U","Mercedes-Benz","S Class ","4dr Sdn 5.0L 4-MATIC AWD ","","","43254","Pewter Metallic","Charcoal","","4","44988.0000","","","25","Yes","5.0 L 8 Cyl. Cyl.","","All Wheel Drive","Dual Front and Side Air Bags"," ","","","http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBNG84J84A41116301.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBNG84J84A41116302.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBNG84J84A41116303.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBNG84J84A41116304.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBNG84J84A41116305.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBNG84J84A41116306.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBNG84J84A41116307.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBNG84J84A41116308.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBNG84J84A41116309.jpg,","Certified Used Car,4 Wheel Disc Brakes,Garage Door Opener,Auto Adjusting Rear View Mirror,Air Conditioning,Side Mirror Blinker Indicator,All Wheel Drive,Auto Climate Control,Rear Defrost,Dual Climate Control,Keyless Entry,Inside Trunk Release,Leather Seats,Power Drivers Seat,Driver Memory Seat,Passenger Memory Seat,Heated Front Seats,Power Passenger Seat,Heated Seats,Rear Arm Rest,AM/FM Stereo,Steering Wheel Stereo Controls,Cassette,Compact Disk Player,Power Sunroof,Alloy Wheels,Trip Odometer,Trip Computer,Driver Air Bag,Passenger Air Bag,Side Air Bags,Rear Passenger Air Bags,Child Seat Anchors,Window Locks,Rear Shoulder Harness,Power Brakes,Power Mirrors,Power Steering,Power Locks,Power Windows,Tilt Steering,Telescopic Wheel,Cruise Control,Bucket Seats,Center Arm Rest,Console,Body Side Molding,Tachometer,Reading Lights,Clock,Cup Holders,Lighted Make-Up Mirror,Map Pockets,5 Passenger Seating",""
"474","88056A","2005","1G1YY24U455112792","U","Chevrolet","Corvette ","2dr Cpe ","","","8056","Machine Silver Metallic","Steel Gray","","2","39988.0000","","","8","No","6.0 L 8 Cyl. Cyl.","","","Dual Front Air Bags"," ","","","http://www.autouplinkusa.com/Images/uv_images/6929/Originals/1G1YY24U45511279201.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/1G1YY24U45511279202.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/1G1YY24U45511279203.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/1G1YY24U45511279204.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/1G1YY24U45511279205.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/1G1YY24U45511279206.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/1G1YY24U45511279207.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/1G1YY24U45511279208.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/1G1YY24U45511279209.jpg,","Traction Control,4 Wheel Disc Brakes,Homelink,Heads Up Display,Auto Adjusting Rear View Mirror,Air Conditioning,Auto Climate Control,Rear Defrost,Dual Climate Control,Keyless Entry,Leather Seats,Power Drivers Seat,Driver Memory Seat,Heated Front Seats,Power Passenger Seat,Heated Seats,AM/FM Stereo,Compact Disc Changer,Bose Sound System,Removeable Hard Top,Premium Wheels,Trip Odometer,Trip Computer,Driver Air Bag,Passenger Air Bag,Intermittent Wipers,Power Brakes,Power Steering,Power Locks,Power Windows,Tilt Steering,Telescopic Wheel,Cruise Control,Bucket Seats,Center Arm Rest,Console,Dual Exhaust,Tachometer,Reading Lights,Clock,Cup Holders,Lighted Make-Up Mirror",""
"474","82764A","2004","1G6DM577440104540","U","Cadillac","CTS ","4dr Sdn ","","","13067","Silver Smoke","Lt Gray/ebony","","4","22988.0000","","","15","No","3.6 L V6 Cyl.","","","Dual Front and Side Air Bags"," ","","","http://www.autouplinkusa.com/Images/uv_images/6929/Originals/1G6DM57744010454001.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/1G6DM57744010454002.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/1G6DM57744010454003.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/1G6DM57744010454004.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/1G6DM57744010454005.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/1G6DM57744010454006.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/1G6DM57744010454007.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/1G6DM57744010454008.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/1G6DM57744010454009.jpg,","4 Wheel Disc Brakes,OnStar System,Integrated Cell Phone,Auto Adjusting Rear View Mirror,Air Conditioning,Auto Climate Control,Rear Defrost,Dual Climate Control,Keyless Entry,Inside Trunk Release,Leather Seats,Power Drivers Seat,Rear Arm Rest,AM/FM Stereo,Steering Wheel Stereo Controls,Compact Disk Player,Alloy Wheels,Trip Odometer,Trip Computer,Driver Air Bag,Passenger Air Bag,Head Air Bags,Side Air Bags,Rear Passenger Air Bags,Child Seat Anchors,Window Locks,Rear Shoulder Harness,Intermittent Wipers,Power Brakes,Power Mirrors,Power Steering,Power Locks,Power Windows,Tilt Steering,Cruise Control,Bucket Seats,Center Arm Rest,Console,Dual Exhaust,Body Side Molding,Tachometer,Reading Lights,Clock,Cup Holders,Lighted Make-Up Mirror,Map Pockets,5 Passenger Seating",""
"474","88048A","2005","WDBRF40J15F556794","U","Mercedes-Benz","C Class ","4dr Sdn Sport 1.8L Auto Kompressor","","","11882","Brilliant Silver Metallic","Black","","4","27588.0000","","","15","Yes","1.8 L 4 Cyl. Cyl.","","","Dual Front and Side Air Bags"," ","","","http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBRF40J15F55679401.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBRF40J15F55679402.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBRF40J15F55679403.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBRF40J15F55679404.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBRF40J15F55679405.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBRF40J15F55679406.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBRF40J15F55679407.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBRF40J15F55679408.jpg,http://www.autouplinkusa.com/Images/uv_images/6929/Originals/WDBRF40J15F55679409.jpg,","Certified Used Car,4 Wheel Disc Brakes,Garage Door Opener,Auto Adjusting Rear View Mirror,Air Conditioning,Auto Climate Control,Rear Defrost,Dual Climate Control,Keyless Entry,Inside Trunk Release,Leather Seats,Heated Front Seats,Heated Seats,Rear Arm Rest,AM/FM Stereo,Steering Wheel Stereo Controls,Compact Disk Player,Power Sunroof,Alloy Wheels,Trip Odometer,Trip Computer,Driver Air Bag,Passenger Air Bag,Side Air Bags,Rear Passenger Air Bags,Window Locks,Rear Shoulder Harness,Intermittent Wipers,Power Brakes,Power Mirrors,Power Steering,Power Locks,Power Windows,Tilt Steering,Telescopic Wheel,Cruise Control,Bucket Seats,Center Arm Rest,Console,Body Side Molding,Tachometer,Reading Lights,Clock,Cup Holders,Lighted Make-Up Mirror,Map Pockets,5 Passenger Seating",""
