"VehicleID","StyleID","FranchiseID","StockNumber","VIN","NewUsed","StockDate","CreateDate","UpdateDate","vYear","vMake","vModel","vTrim","vTrimExtended","vType","vDoors","vMileage","vInternetPrice","BaseListPrice","vExteriorColor","vInteriorColor","vEngine","vDisplacement","vTransmission","SID","Updated","FranchiseSource","Photo_URL","vDescription"
2712931,"100655178","0","1.03387","19UUA66276A074529","U",2007-10-21 00:00:00,2007-10-21 00:00:00,2007-12-17 13:51:19,"2006","ACURA","3.2TL","3.2 TL","SEDAN 4 DOOR","BASE LEVEL LUXURY CAR","4","22449",31995,"31995","RED","Not Given","6","3.2L V6  PFI SOHC 24V","M","451280",True,"RamDMSi","","BASE LEVEL LUXURY CAR,MANUAL TRANS,OPTIONAL:U,FWD,3.2L V6  PFI SOHC 24V,6CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
1367733,"100570348","0","102940","1A4GP44R46B567250","U",2007-03-13 00:00:00,2007-03-13 00:00:00,2007-12-17 13:51:14,"2006","CHRYSLER","TOWN  COUNTRY","LX","SPORT VAN","PASSENGER MINIVAN","UNKNOWN","41098",13995,"18995","SILVER","Not Given","6","3.3L V6  SFI OHV","A","451280",True,"RamDMSi","http://vehimages.carpod.net/images/1A4GP44R46B567250_1.jpg||http://vehimages.carpod.net/images/1A4GP44R46B567250_2.jpg||http://vehimages.carpod.net/images/1A4GP44R46B567250_3.jpg||http://vehimages.carpod.net/images/1A4GP44R46B567250_4.jpg||http://vehimages.carpod.net/images/1A4GP44R46B567250_5.jpg||http://vehimages.carpod.net/images/1A4GP44R46B567250_6.jpg||http://vehimages.carpod.net/images/1A4GP44R46B567250_7.jpg||http://vehimages.carpod.net/images/1A4GP44R46B567250_8.jpg","PASSENGER MINIVAN,AUTO TRANS,OPTIONAL:U,FWD,3.3L V6  SFI OHV,6CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
2761306,"0","0","H058","1A8HW58228F114877","N",2007-10-27 00:00:00,2007-10-27 00:00:00,2007-12-17 13:51:47,"2008","CHRYSLER","ASPEN","LIMITED","WAGON 4 DOOR","FULL SIZE UTILITY VEHICLE","4","2",42645,"42645","COGNAC","Not Given","8","5.7L V8  SFI OHV  16V","A","451280",True,"RamDMSi","","FULL SIZE UTILITY VEHICLE,AUTO TRANS,OPTIONAL:U,4X4,5.7L V8  SFI OHV  16V,8CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
2986172,"100783094","0","1.03448","1A8HW58237F524926","U",2007-11-29 00:00:00,2007-11-29 00:00:00,2007-12-17 13:51:21,"2007","CHRYSLER","ASPEN","LIMITED","WAGON 4 DOOR","FULL SIZE UTILITY VEHICLE","4","24540",36995,"36995","COGNAC","Not Given","8","5.7L V8  SFI OHV  16V","A","451280",True,"RamDMSi","","FULL SIZE UTILITY VEHICLE,AUTO TRANS,OPTIONAL:U,4X4,5.7L V8  SFI OHV  16V,8CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
2986176,"100783094","0","1.03447","1A8HW58247F520366","U",2007-11-29 00:00:00,2007-11-29 00:00:00,2007-12-17 13:51:21,"2007","CHRYSLER","ASPEN","LIMITED","WAGON 4 DOOR","FULL SIZE UTILITY VEHICLE","4","26186",36995,"36995","STEEL BLUE","Not Given","8","5.7L V8  SFI OHV  16V","A","451280",True,"RamDMSi","","FULL SIZE UTILITY VEHICLE,AUTO TRANS,OPTIONAL:U,4X4,5.7L V8  SFI OHV  16V,8CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
3131434,"100783094","0","9213","1A8HW58267F546855","U",2007-12-16 00:00:00,2007-12-16 00:00:00,2007-12-17 13:51:51,"2007","CHRYSLER","ASPEN","LIMITED","WAGON 4 DOOR","FULL SIZE UTILITY VEHICLE","4","20912",34922,"34995","GOLD","Not Given","8","5.7L V8  SFI OHV  16V","U","451280",False,"RamDMSi","","FULL SIZE UTILITY VEHICLE,OPTIONAL:U,4X4,5.7L V8  SFI OHV  16V,8CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
3005981,"0","0","H103","1A8HW58268F103381","N",2007-12-01 00:00:00,2007-12-01 00:00:00,2007-12-17 13:51:50,"2008","CHRYSLER","ASPEN","LIMITED","WAGON 4 DOOR","FULL SIZE UTILITY VEHICLE","4","4",37325,"37325","LIGHT SANDSTONE","Not Given","8","5.7L V8  SFI OHV  16V","A","451280",True,"RamDMSi","","FULL SIZE UTILITY VEHICLE,AUTO TRANS,OPTIONAL:U,4X4,5.7L V8  SFI OHV  16V,8CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
2986173,"100783094","0","1.03450","1A8HW58277F554446","U",2007-11-29 00:00:00,2007-11-29 00:00:00,2007-12-17 13:51:21,"2007","CHRYSLER","ASPEN","LIMITED","WAGON 4 DOOR","FULL SIZE UTILITY VEHICLE","4","24571",36995,"36995","COGNAC","Not Given","8","5.7L V8  SFI OHV  16V","A","451280",True,"RamDMSi","","FULL SIZE UTILITY VEHICLE,AUTO TRANS,OPTIONAL:U,4X4,5.7L V8  SFI OHV  16V,8CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
2683798,"","0","H038","1A8HW58278F106290","N",2007-10-17 00:00:00,2007-10-17 00:00:00,2007-12-17 13:51:46,"2008","CHRYSLER","ASPEN","LIMITED","WAGON 4 DOOR","FULL SIZE UTILITY VEHICLE","4","65",38725,"38725","STEEL BLUE","Not Given","8","5.7L V8  SFI OHV  16V","A","451280",True,"RamDMSi","","FULL SIZE UTILITY VEHICLE,AUTO TRANS,OPTIONAL:U,4X4,5.7L V8  SFI OHV  16V,8CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
2986174,"100783094","0","1.03449","1A8HW58287F543777","U",2007-11-29 00:00:00,2007-11-29 00:00:00,2007-12-17 13:51:21,"2007","CHRYSLER","ASPEN","LIMITED","WAGON 4 DOOR","FULL SIZE UTILITY VEHICLE","4","25714",36995,"36995","LIGHT KHAKI","Not Given","8","5.7L V8  SFI OHV  16V","A","451280",True,"RamDMSi","","FULL SIZE UTILITY VEHICLE,AUTO TRANS,OPTIONAL:U,4X4,5.7L V8  SFI OHV  16V,8CYL,ABS STANDARDAIR COND,POW STEERING,POW WINDOWS,"
