DelaerID	Type	Stock	Vin	Year	Make	Model	Body	Trim	ExteriorColor	InteriorColor	EngineCylinder	EngineDisplacement	Transmission	Miles	Certified	DateONStock	Options
AABYS	USED	OX6936	1B3EL46X16N193586	2006	DODGE	STRATUS 	4 DR SEDAN	SXT	Magnesium Pearl	Dark Slate Gray	4 CYL.	2.4	BR	23001	FALSE	1/17/2007 8:55:00 PM	POWER STEERING,POWER BRAKES,POWER DOOR LOCKS,POWER WINDOWS,AM/FM STEREO RADIO,CD PLAYER,TACHOMETER,AIR CONDITIONING,CRUISE CONTROL,TILT STEERING WHEEL,TINTED GLASS,DRIVER SIDE AIR BAG,PASSENGER SIDE AIR BAG,FRONT BUCKET SEATS,DELUXE WHEEL COVERS,INTERVAL WIPERS,REAR DEFROSTER,REMOTE TRUNK LID,CONSOLE,CARPETING,VANITY MIRROR,DUAL POWER MIRRORS,VELOUR UPHOLSTERY,BODY SIDE MOLDINGS,KEYLESS ENTRY,CENTER ARM REST,DOOR POCKETS,FOLD DOWN REAR SEAT,CHILD-PROOF LOCKS,CUP HOLDERS,,,,,
AABYS	USED	OX6792	1B3EL46X86N151139	2006	DODGE	STRATUS 	4 DR SEDAN	SXT	Stone White	Dark Slate Gray	4 CYL.	2.4	BR	12475	FALSE	10/18/2006 9:14:00 PM	POWER STEERING,POWER BRAKES,POWER DOOR LOCKS,POWER WINDOWS,AM/FM STEREO RADIO,CD PLAYER,ALLOY WHEELS,TACHOMETER,AIR CONDITIONING,CRUISE CONTROL,TILT STEERING WHEEL,TINTED GLASS,DRIVER SIDE AIR BAG,PASSENGER SIDE AIR BAG,FRONT BUCKET SEATS,INTERVAL WIPERS,REAR DEFROSTER,REMOTE TRUNK LID,CONSOLE,CARPETING,VANITY MIRROR,DUAL POWER MIRRORS,VELOUR UPHOLSTERY,BODY SIDE MOLDINGS,KEYLESS ENTRY,CENTER ARM REST,DOOR POCKETS,FOLD DOWN REAR SEAT,CHILD-PROOF LOCKS,CUP HOLDERS,,,,,
AABYS	USED	OX6978	1B3EL46X86N196503	2006	DODGE	STRATUS 	4 DR SEDAN	SXT	Magnesium Pearl	Dark Slate Gray	4 CYL.	2.4	BR	22654	FALSE	12/29/2006 5:35:00 PM	POWER STEERING,POWER BRAKES,POWER DOOR LOCKS,POWER WINDOWS,AM/FM STEREO RADIO,CD PLAYER,TACHOMETER,AIR CONDITIONING,CRUISE CONTROL,TILT STEERING WHEEL,TINTED GLASS,DRIVER SIDE AIR BAG,PASSENGER SIDE AIR BAG,FRONT BUCKET SEATS,DELUXE WHEEL COVERS,INTERVAL WIPERS,REAR DEFROSTER,REMOTE TRUNK LID,CONSOLE,CARPETING,FLOOR MATS,VANITY MIRROR,DUAL POWER MIRRORS,VELOUR UPHOLSTERY,BODY SIDE MOLDINGS,KEYLESS ENTRY,CENTER ARM REST,DOOR POCKETS,FOLD DOWN REAR SEAT,CHILD-PROOF LOCKS,CUP HOLDERS,,,,
AABYS	USED	OX6928	1B3ES26C95D219490	2005	DODGE	NEON 	4 DR SEDAN	SE	Flame Red	Dark Slate Gray	4 CYL.	2.0	BS	36338	FALSE	12/29/2006 5:35:00 PM	POWER STEERING,POWER BRAKES,AM/FM STEREO RADIO,CASSETTE PLAYER,TRIP ODOMETER,AIR CONDITIONING,TILT STEERING WHEEL,TINTED GLASS,DRIVER SIDE AIR BAG,PASSENGER SIDE AIR BAG,FRONT BUCKET SEATS,DELUXE WHEEL COVERS,CLOCK,INTERVAL WIPERS,REAR DEFROSTER,CONSOLE,CARPETING,DRIVER SIDE REMOTE MIRROR,CLOTH UPHOLSTERY,BODY SIDE MOLDINGS,DOOR POCKETS,FOLD DOWN REAR SEAT,CHILD-PROOF LOCKS,CUP HOLDERS,,,,,,,,,,,
AABYS	USED	OX6954	1B3ES56C05D246093	2005	DODGE	NEON 	4 DR SEDAN	SXT	Mineral Gray Metallic	Dark Slate Gray	4 CYL.	2.0	BS	34503	FALSE	12/29/2006 5:35:00 PM	POWER STEERING,POWER BRAKES,POWER DOOR LOCKS,POWER WINDOWS,AM/FM STEREO RADIO,CD PLAYER,HIGH PERFORMANCE TIRES,ALLOY WHEELS,TRIP ODOMETER,TACHOMETER,AIR CONDITIONING,TILT STEERING WHEEL,TINTED GLASS,DRIVER SIDE AIR BAG,PASSENGER SIDE AIR BAG,FRONT BUCKET SEATS,RECLINING SEATS,CLOCK,INTERVAL WIPERS,REAR DEFROSTER,REMOTE TRUNK LID,CONSOLE,CARPETING,VANITY MIRROR,DUAL POWER MIRRORS,CLOTH UPHOLSTERY,BODY SIDE MOLDINGS,KEYLESS ENTRY,CENTER ARM REST,MAP LIGHTS,FOLD DOWN REAR SEAT,CHILD-PROOF LOCKS,CUP HOLDERS,,
AABYS	USED	OX6938	1B3HB48B87D549783	2007	DODGE	CALIBER 	5 DR HATCHBACK	SXT	Black	Pastel Slate Gray	4 CYL.	2.0	BR	14354	FALSE	12/29/2006 5:35:00 PM	ANTI-LOCK BRAKING SYSTEM,POWER DOOR LOCKS,POWER WINDOWS,AM/FM STEREO RADIO,CD PLAYER,TACHOMETER,AIR CONDITIONING,TILT STEERING WHEEL,TINTED GLASS,SIDE IMPACT AIRBAG(S),FRONT BUCKET SEATS,DELUXE WHEEL COVERS,INTERVAL WIPERS,REAR DEFROSTER,REAR WINDOW WIPER,CARPETING,FLOOR MATS,DUAL POWER MIRRORS,CLOTH UPHOLSTERY,KEYLESS ENTRY,MAP LIGHTS,FOLD DOWN REAR SEAT,AUXILIARY POWER OUTLETS,CHILD-PROOF LOCKS,,,,,,,,,,,
AABYS	USED	OX6869	1C3AN69L84X001842	2004	CHRYSLER	CROSSFIRE	2 DR COUPE		Blaze Red Crystal Pearl	Dark Gray/Med Gray	6 CYL. SOHC	3.2	BU	7612	FALSE	11/8/2006 6:40:00 PM	ANTI-LOCK BRAKING SYSTEM,POWER DOOR LOCKS,POWER WINDOWS,POWER DRIVER'S SEAT,POWER PASSENGER SEAT,AM/FM STEREO RADIO,CD PLAYER,PREMIUM SOUND SYSTEM,HIGH PERFORMANCE TIRES,GEOMETRIC SPOKE WHEELS,TRIP ODOMETER,TACHOMETER,AIR CONDITIONING,CRUISE CONTROL,TINTED GLASS,SIDE IMPACT AIRBAG(S),FRONT BUCKET SEATS,LEATHER UPHOLSTERY,HEATED SEATS,DIGITAL THERMOMETER,AUTO-DIM MIRROR,CLOCK,TELESCOPING STEERING WHEEL,SPORT STEERING WHEEL,INTERVAL WIPERS,REAR DEFROSTER,FOG LIGHTS,FLOOR MATS,VANITY MIRROR,DUAL POWER MIRRORS,REAR SPOILER,KEYLESS ENTRY,CENTER ARM REST,CUP HOLDERS,
AABYS	USED	OX6855	1C3EL56R86N225976	2006	CHRYSLER	SEBRING 	4 DR SEDAN	TOURING	Midnight Blue Pearl	Dark Slate Gray	6 CYL.	2.7	BR	18739	FALSE	11/8/2006 6:40:00 PM	POWER STEERING,POWER BRAKES,POWER DOOR LOCKS,POWER WINDOWS,POWER DRIVER'S SEAT,AM/FM STEREO RADIO,CD PLAYER,SATELLITE RADIO,ALLOY WHEELS,TRIP ODOMETER,TACHOMETER,AIR CONDITIONING,CRUISE CONTROL,TILT STEERING WHEEL,TINTED GLASS,DRIVER SIDE AIR BAG,PASSENGER SIDE AIR BAG,FRONT BUCKET SEATS,CLOCK,INTERVAL WIPERS,REAR DEFROSTER,REMOTE TRUNK LID,CONSOLE,CARPETING,VANITY MIRROR,DUAL POWER MIRRORS,VELOUR UPHOLSTERY,BODY SIDE MOLDINGS,KEYLESS ENTRY,FOLD DOWN REAR SEAT,CHILD-PROOF LOCKS,CUP HOLDERS,,,
AABYS	USED	OX6621	1D4GP24R96B605360	2006	DODGE	GRAND CARAVAN 	MINI VAN	SE	Stone White	Dark Khaki/Lt Gray Stone	6 CYL.	3.3	BR	27568	FALSE	9/19/2006 8:41:00 AM	POWER STEERING,ANTI-LOCK BRAKING SYSTEM,POWER DOOR LOCKS,POWER WINDOWS,AM/FM STEREO RADIO,CD PLAYER,TRIP ODOMETER,TACHOMETER,REAR AIR CONDITIONER,CRUISE CONTROL,TILT STEERING WHEEL,PRIVACY GLASS,DRIVER SIDE AIR BAG,PASSENGER SIDE AIR BAG,CLIMATE CONTROL,FRONT BUCKET SEATS,Stow N Go Seating,DELUXE WHEEL COVERS,CLOCK,INTERVAL WIPERS,REAR DEFROSTER,REAR WINDOW WIPER,CARPETING,VANITY MIRROR,DUAL POWER MIRRORS,VELOUR UPHOLSTERY,BODY SIDE MOLDINGS,CENTER ARM REST,CHILD-PROOF LOCKS,CUP HOLDERS,,,,,
AABYS	USED	OX6892	1D4HB48N66F126070	2006	DODGE	DURANGO 	SUV 4X4	SLT	Patriot Blue Pearl	Med Slate Gray	8 CYL.	4.7	BR	23297	FALSE	11/29/2006 8:56:00 PM	ANTI-LOCK BRAKING SYSTEM,POWER DOOR LOCKS,POWER WINDOWS,POWER DRIVER'S SEAT,AM/FM STEREO RADIO,CD PLAYER,ALLOY WHEELS,TACHOMETER,REAR AIR CONDITIONER,CRUISE CONTROL,TILT STEERING WHEEL,PRIVACY GLASS,DRIVER SIDE AIR BAG,PASSENGER SIDE AIR BAG,FRONT BUCKET SEATS,3RD SEAT,HOMELINK SYSTEM,COMPASS,DIGITAL THERMOMETER,INTERVAL WIPERS,REAR DEFROSTER,REAR WINDOW WIPER,FOG LIGHTS,CONSOLE,CARPETING,VANITY MIRROR,DUAL POWER MIRRORS,VELOUR UPHOLSTERY,LUGGAGE RACK,BODY SIDE MOLDINGS,KEYLESS ENTRY,CENTER ARM REST,CHILD-PROOF LOCKS,CUP HOLDERS,
AABYS	USED	OX6791	1D7HU162X6J179758	2006	DODGE	RAM 1500 	PICKUP TRUCK 4X4	SLT	Patriot Blue Pearl	Medium Slate Gray	8 CYL.	5.7	BS	21433	FALSE	10/18/2006 9:14:00 PM	ANTI-LOCK BRAKING SYSTEM,POWER DOOR LOCKS,POWER WINDOWS,AM/FM STEREO RADIO,CD PLAYER,ALLOY WHEELS,GAUGE CLUSTER,TACHOMETER,AIR CONDITIONING,CRUISE CONTROL,TILT STEERING WHEEL,TINTED GLASS,DRIVER SIDE AIR BAG,PASSENGER SIDE AIR BAG,COMPASS,DIGITAL THERMOMETER,INTERVAL WIPERS,FOG LIGHTS,CONSOLE,CARPETING,FLOOR MATS,DUAL POWER MIRRORS,HEATED OUTSIDE MIRRORS,SPLIT FRONT BENCH SEAT,CLOTH UPHOLSTERY,BODY SIDE MOLDINGS,KEYLESS ENTRY,CENTER ARM REST,MAP LIGHTS,CHROME BUMPER,BED LINER,AUXILIARY POWER OUTLETS,,,
AABYS	USED	OX6937A	1D7HU16N45J650084	2005	DODGE	RAM 1500 	PICKUP TRUCK 4X4	SLT	Bright Silver Metallic	Dark Slate Gray	8 CYL.	4.7	BU	13366	FALSE	12/28/2006 8:37:00 PM	ANTI-LOCK BRAKING SYSTEM,POWER DOOR LOCKS,POWER WINDOWS,AM/FM STEREO RADIO,CD PLAYER,MP3 PLAYER,GAUGE CLUSTER,TRIP ODOMETER,TACHOMETER,AIR CONDITIONING,CRUISE CONTROL,TILT STEERING WHEEL,PRIVACY GLASS,DRIVER SIDE AIR BAG,PASSENGER SIDE AIR BAG,COMPASS,DIGITAL THERMOMETER,TRIP COMPUTER,WHITE LETTER TIRES,DELUXE WHEEL COVERS,CLOCK,INTERVAL WIPERS,FOG LIGHTS,CONSOLE,CARPETING,DUAL POWER MIRRORS,HEATED OUTSIDE MIRRORS,SPLIT FRONT BENCH SEAT,VELOUR UPHOLSTERY,KEYLESS ENTRY,CENTER ARM REST,CHROME BUMPER,TRAILER HITCH,BED LINER,CUP HOLDERS
AABYS	USED	OX6854	1D7HU18276S605039	2006	DODGE	RAM 1500 	PICKUP TRUCK 4X4	QUAD CAB SLT	Mineral Gray Metallic	Medium Slate Gray	8 CYL.	5.7	BR	24849	FALSE	11/8/2006 6:40:00 PM	ANTI-LOCK BRAKING SYSTEM,POWER DOOR LOCKS,POWER WINDOWS,AM/FM STEREO RADIO,CD PLAYER,ALLOY WHEELS,GAUGE CLUSTER,TRIP ODOMETER,TACHOMETER,AIR CONDITIONING,CRUISE CONTROL,TILT STEERING WHEEL,TINTED GLASS,DRIVER SIDE AIR BAG,PASSENGER SIDE AIR BAG,COMPASS,DIGITAL THERMOMETER,TRIP COMPUTER,CLOCK,INTERVAL WIPERS,CONSOLE,CARPETING,DUAL POWER MIRRORS,HEATED OUTSIDE MIRRORS,SPLIT FRONT BENCH SEAT,CLOTH UPHOLSTERY,BODY SIDE MOLDINGS,KEYLESS ENTRY,CENTER ARM REST,CHROME BUMPER,BED LINER,CUP HOLDERS,,,
AABYS	USED	OX6946	1D7HU18276S605042	2006	DODGE	RAM 1500 	PICKUP TRUCK 4X4	QUAD CAB SLT	Mineral Gray Metallic	Medium Slate Gray	8 CYL.	5.7	BR	13997	FALSE	1/17/2007 8:55:00 PM	POWER STEERING,ANTI-LOCK BRAKING SYSTEM,POWER DOOR LOCKS,POWER WINDOWS,AM/FM STEREO RADIO,CD PLAYER,ALLOY WHEELS,GAUGE CLUSTER,TRIP ODOMETER,TACHOMETER,AIR CONDITIONING,CRUISE CONTROL,TILT STEERING WHEEL,TINTED GLASS,DRIVER SIDE AIR BAG,PASSENGER SIDE AIR BAG,COMPASS,DIGITAL THERMOMETER,TRIP COMPUTER,CLOCK,INTERVAL WIPERS,CONSOLE,CARPETING,DUAL POWER MIRRORS,HEATED OUTSIDE MIRRORS,SPLIT FRONT BENCH SEAT,CLOTH UPHOLSTERY,BODY SIDE MOLDINGS,KEYLESS ENTRY,CENTER ARM REST,CHROME BUMPER,BED LINER,CUP HOLDERS,,
AABYS	USED	OX6956	1D7HW48N16S605978	2006	DODGE	DAKOTA 	PICKUP TRUCK 4X4	SLT QUAD	Bright White	Med Slate Gray	8 CYL.	4.7	BR	20827	FALSE	12/29/2006 5:35:00 PM	POWER STEERING,ANTI-LOCK BRAKING SYSTEM,POWER DOOR LOCKS,POWER WINDOWS,AM/FM STEREO RADIO,CD PLAYER,ALLOY WHEELS,TRIP ODOMETER,TACHOMETER,AIR CONDITIONING,CRUISE CONTROL,TILT STEERING WHEEL,TINTED GLASS,DRIVER SIDE AIR BAG,PASSENGER SIDE AIR BAG,FRONT BUCKET SEATS,CLOCK,INTERVAL WIPERS,FOG LIGHTS,CONSOLE,CARPETING,FLOOR MATS,VANITY MIRROR,DUAL POWER MIRRORS,CLOTH UPHOLSTERY,KEYLESS ENTRY,CENTER ARM REST,MAP LIGHTS,BED LINER,STEP BUMPER,CHILD-PROOF LOCKS,CUP HOLDERS,,,
AABYS	USED	OX6729A	1D7HW48N85S127167	2005	DODGE	DAKOTA 	PICKUP TRUCK 4X4	SLT QUAD CAB	Bright Silver Metallic	Med Slate Gray	8 CYL.	4.7	BR	43256	FALSE	1/17/2007 8:55:00 PM	POWER STEERING,POWER BRAKES,ANTI-LOCK BRAKING SYSTEM,POWER DOOR LOCKS,POWER WINDOWS,AM/FM STEREO RADIO,CD PLAYER,ALLOY WHEELS,TRIP ODOMETER,TACHOMETER,AIR CONDITIONING,CRUISE CONTROL,TILT STEERING WHEEL,TINTED GLASS,DRIVER SIDE AIR BAG,PASSENGER SIDE AIR BAG,FRONT BUCKET SEATS,RECLINING SEATS,CLOCK,FOG LIGHTS,CONSOLE,CARPETING,FLOOR MATS,VANITY MIRROR,DUAL POWER MIRRORS,CLOTH UPHOLSTERY,KEYLESS ENTRY,CENTER ARM REST,MAP LIGHTS,CHROME BUMPER,BED LINER,AUXILIARY POWER OUTLETS,CUP HOLDERS,,
AABYS	USED	OX7011	1D7HW48N86S605976	2006	DODGE	DAKOTA 	PICKUP TRUCK 4X4	SLT QUAD	Flame Red	Med Slate Gray	8 CYL.	4.7	BR	26103	FALSE	1/17/2007 8:55:00 PM	ANTI-LOCK BRAKING SYSTEM,POWER DOOR LOCKS,POWER WINDOWS,AM/FM STEREO RADIO,CD PLAYER,ALLOY WHEELS,TRIP ODOMETER,TACHOMETER,AIR CONDITIONING,CRUISE CONTROL,TILT STEERING WHEEL,TINTED GLASS,DRIVER SIDE AIR BAG,PASSENGER SIDE AIR BAG,FRONT BUCKET SEATS,WHITE LETTER TIRES,CLOCK,INTERVAL WIPERS,FOG LIGHTS,CONSOLE,CARPETING,VANITY MIRROR,DUAL POWER MIRRORS,CLOTH UPHOLSTERY,BODY SIDE MOLDINGS,KEYLESS ENTRY,CENTER ARM REST,MAP LIGHTS,BED LINER,STEP BUMPER,CHILD-PROOF LOCKS,CUP HOLDERS,,,
AABYS	USED	OX6891	1FAFP34N36W129861	2006	FORD	FOCUS 	4 DR SEDAN	ZX4	CD Silver Metallic	Light Flint	4 CYL.	2.0	BS	25361	FALSE	11/29/2006 8:56:00 PM	POWER STEERING,POWER BRAKES,POWER DOOR LOCKS,POWER WINDOWS,AM/FM STEREO RADIO,CD PLAYER,MP3 PLAYER,ALLOY WHEELS,TRIP ODOMETER,AIR CONDITIONING,CRUISE CONTROL,TILT STEERING WHEEL,DRIVER SIDE AIR BAG,PASSENGER SIDE AIR BAG,FRONT BUCKET SEATS,CLOCK,TELESCOPING STEERING WHEEL,INTERVAL WIPERS,REAR DEFROSTER,REMOTE TRUNK LID,CARPETING,FLOOR MATS,VANITY MIRROR,DUAL POWER MIRRORS,CLOTH UPHOLSTERY,BODY SIDE MOLDINGS,KEYLESS ENTRY,MAP LIGHTS,FOLD DOWN REAR SEAT,CHILD-PROOF LOCKS,CUP HOLDERS,,,,
