DealerID,Type,Stock,VIN,Year,Make,Model,Body,Trim,ModelNumber,Doors,ExteriorColor,InteriorColor,EngineCylinders,EngineDisplacement,Transmission,Miles,Certified,DateInStock,Description,Options,PhotoURLs
"401","USED","7-092A","2B3HD46R81H599250","2001","Dodge","Intrepid","4dr Car","SE","LHDH41","4","DK GARNET","","6","2.7L","Automatic","117955","False","6/30/2007","This Intrepid is a local trade-in and is in great condition. This is an SE package with power windows and locks, remote keyless entry and much more! This Intrepid is a great value!","","http://webiol.homenetinc.com/dealers/2091/4578/7-092A.jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-092A(2).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-092A(3).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-092A(4).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-092A(5).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-092A(6).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-092A(7).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-092A(8).jpg"
"401","USED","7-081A","1FMEU15WX4LA77746","2004","Ford","Expedition","Sport Utility","XLT","U15","4","BLACK","","8","4.6L","Automatic","68174","False","6/22/2007","This Expedition is a local trade-in. Thisis an XLT package with power windows and locks, remote keyless entry, CD, running boards, power moonroof, tow package and more!","","http://webiol.homenetinc.com/dealers/2091/4578/7-081A.jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-081A(2).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-081A(3).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-081A(4).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-081A(5).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-081A(6).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-081A(7).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-081A(8).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-081A(9).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-081A(10).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-081A(11).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-081A(12).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-081A(13).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-081A(14).jpg"
"401","USED","6-091Y","1B4HS28Z0XF651242","1999","Dodge","Durango","Sport Utility","","DN5L74","4","GREEN","","8","5.9L","Automatic","93858","False","2/17/2007","This is an SLT+ package Durango with leather seats, rear heat and a/c, third row seat, factory tow package, CD and much more! This Durango was a local trade-in.","","http://webiol.homenetinc.com/dealers/2091/4578/6-091Y.jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-091Y(2).jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-091Y(3).jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-091Y(4).jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-091Y(5).jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-091Y(6).jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-091Y(7).jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-091Y(8).jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-091Y(9).jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-091Y(10).jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-091Y(11).jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-091Y(12).jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-091Y(13).jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-091Y(14).jpg"
"401","USED","7-045B","1B4HS28Z7XF576118","1999","Dodge","Durango","Sport Utility","","DN5L74","4","BLACK","","8","5.9L","Automatic","116439","False","3/6/2007","Local trade, leather seats, 3rd row seating, rear heat and air conditioning, power driver seat plus much more!","","http://webiol.homenetinc.com/dealers/2091/4578/7-045B.jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-045B(2).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-045B(3).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-045B(4).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-045B(5).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-045B(6).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-045B(7).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-045B(8).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-045B(9).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-045B(10).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-045B(11).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-045B(12).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-045B(13).jpg"
"401","New","7-095","3A4FY58B47T630911","2007","Chrysler","PT Cruiser","4dr Car","Touring","PTCP44","4","RED","","4","2.4L","Automatic","0","False","7/10/2007","","Driver Air Bag,Passenger Air Bag,Passenger Air Bag On/Off Switch,A/C,Rear A/C,Alarm,AM/FM Stereo,CD Player,Front Disc/Rear Drum Brakes,Rear Defrost,Child Safety Locks,Front Wheel Drive,Keyless Entry,Power Door Locks,Power Driver Mirror,Pass-Through Rear Seat,Cloth Seats,Bucket Seats,Power Steering,Adjustable Steering Wheel,Compact Spare Tire,Power Windows,Intermittent Wipers,Tires - Front Touring,Tires - Rear Touring,Power Passenger Mirror,Privacy Glass,Variable Speed Intermittent Wipers,Auxiliary Pwr Outlet,Vehicle Anti-Theft System,Driver Illuminated Vanity Mirror,Passenger Illuminated Visor Mirror,Rear Seat Heat Ducts,Front Reading Lamps,Rear Spoiler,Wheel Covers,Steel Wheels","http://webiol.homenetinc.com/stock_images/2/9750.jpg"
"401","USED","A337A","1G2NF12E61M505090","2001","Pontiac","Grand Am","2dr Car","SE1","2NF37","2","WHITE","","4","2.4L","Automatic","85503","False","3/26/2007","Local trade-in, V6, automatic, power windows and locks.","","http://webiol.homenetinc.com/dealers/2091/4578/A337A.jpg,http://webiol.homenetinc.com/dealers/2091/4578/A337A(2).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A337A(3).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A337A(4).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A337A(5).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A337A(6).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A337A(7).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A337A(8).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A337A(9).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A337A(10).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A337A(11).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A337A(12).jpg"
"401","USED","6-124B","1G3HN52K0T4804067","1996","Oldsmobile","88","LS","LS","","","WHITE","","6","3.8","Automatic","96656","False","3/30/2007","Cars like this are hard to find! Very, very clean locally owned and traded vehicle. LS package with the 3.8L V6, power windows and locks and a power driver seat.","","http://webiol.homenetinc.com/dealers/2091/4578/6-124B.jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-124B(2).jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-124B(3).jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-124B(4).jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-124B(5).jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-124B(6).jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-124B(7).jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-124B(8).jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-124B(9).jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-124B(10).jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-124B(11).jpg,http://webiol.homenetinc.com/dealers/2091/4578/6-124B(12).jpg"
"401","USED","A361","1J4GR48K25C723138","2005","Jeep","Grand Cherokee","Sport Utility","Laredo","WKJH74","4","BLACK","Gray","6","3.7L","Automatic","25135","True","4/20/2007","This Grand Cherokee is a one owner, off lease vehicle. Laredo package, 4X4, with the fuel efficient 6 cylinder engine, trailer tow package, CD and much more! This Grand Cherokee is FACTORY CERTIFIED with the balance of an 80,000 mile powertrain warranty!","","http://webiol.homenetinc.com/dealers/2091/4578/A361.jpg,http://webiol.homenetinc.com/dealers/2091/4578/A361(2).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A361(3).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A361(4).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A361(5).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A361(6).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A361(7).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A361(8).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A361(9).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A361(10).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A361(11).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A361(12).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A361(13).jpg"
"401","USED","7-071B","1G2NV52E63C145869","2003","Pontiac","Grand Am","4dr Car","GT1","2NV69","4","BLACK","Gray","6","3.4L","Automatic","82771","False","5/1/2007","LEATHER! CHROME WHEELS! MOONROOF! SHARP!!!","","http://webiol.homenetinc.com/dealers/2091/4578/7-071B.jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-071B(2).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-071B(3).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-071B(4).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-071B(5).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-071B(6).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-071B(7).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-071B(8).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-071B(9).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-071B(10).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-071B(11).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-071B(12).jpg,http://webiol.homenetinc.com/dealers/2091/4578/7-071B(13).jpg"
"401","USED","A366D","2G2FV22P0T2209196","1996","Pontiac","Firebird","COUPE","Trans Am","","","RED","","8","5.7","Automatic","114115","False","7/23/2007","WOW!!! Look at this Trans Am! V8, automatic, T-TOPS!!! This Firebird is in very good condition!","","http://webiol.homenetinc.com/dealers/2091/4578/A366D.jpg,http://webiol.homenetinc.com/dealers/2091/4578/A366D(2).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A366D(3).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A366D(4).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A366D(5).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A366D(6).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A366D(7).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A366D(8).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A366D(9).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A366D(10).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A366D(11).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A366D(12).jpg,http://webiol.homenetinc.com/dealers/2091/4578/A366D(13).jpg"
