LotId,ExternalDealerId,Vin,StockNumber,Year,Make,Model,InternetPrice,ListPrice,InvoicePrice,ExteriorColor,InteriorColor,Transmission,Trim,Engine,Odometer,Cylinder,EngineFuelType,ModelNumber,BodyStyle,PhotoURL,Options,NewUsed
19003,327,2GTFK69U021326028,P1326028,2002,GMC,Sierra 1500,15897,0,0,GRAY,,,Denali,Gas V8,,,,,Ext Cab 143.5" WB AWD Denali,"http://images.webmakerx.net/InventoryPhotos/2GTF/K69U/021/2GTFK69U021326028/2GTFK69U021326028_1(2).jpg",,U
19004,327,1GCCS14H038193110,P8193110,2003,Chevrolet,S-10,7897,0,0,YELLOW,,,LS,Gas L4,66440,,,,Reg Cab 108" WB LS,"http://images.webmakerx.net/InventoryPhotos/1GCC/S14H/038/1GCCS14H038193110/1GCCS14H038193110_1(2).jpg",Air Conditioning; Driver Side Air Bag; Passenger Side Air Bag; Power Steering,U
1090,399,4C3AG52H23E109571,002246,2003,Chrysler,Sebring,11299,0,0,Black,,Automatic,LXi,Gas V6,35521,,,,2dr Cpe LXi,"http://images.webmakerx.net/InventoryPhotos/4C3A/G52H/23E/4C3AG52H23E109571/4C3AG52H23E109571_1.jpg",Air Conditioning; Alloy Wheels; Am/Fm Stereo; Cassette; Cruise Control; Dual Front Air Bags; Leather; Moon Roof; Multi Compact Disc; Power Door Locks; Power Steering; Power Windows; Premium Sound; Rear Spoiler; Tilt Wheel; Fwd,U
16730,327,1G1AM58B967600035,7600035,2006,Chevrolet,Cobalt,13450,0,0,BLACK,,Automatic,SS,Gas 4-Cyl,36692,,,,4dr Sdn SS,,,U
6920,329,2HKYF18476H531934,PH531934,2006,Honda,Pilot,25930,0,0,BLACK,,A,EX,Gas V6,20865,,,T,4WD EX AT,"http://images.webmakerx.net/InventoryPhotos/2HKY/F184/76H/2HKYF18476H531934/2HKYF18476H531934_1(1).jpg",Air Conditioning; Cruise Control; Driver Side Air Bag; Passenger Side Air Bag; Power Locks; Power Seats; Power Steering; Power Windows; Tilt Wheel; Traction Control,U
16730,327,1G1AK55F867873996,7873996,2006,Chevrolet,Cobalt,11450,0,0,GRAY,,,LS,Gas 4-Cyl,22342,,,,4dr Sdn LS,"http://images.webmakerx.net/InventoryPhotos/1G1A/K55F/867/1G1AK55F867873996/1G1AK55F867873996_1.jpg",,U
16730,327,1G1YY36U265130454,5130454,2006,Chevrolet,Corvette,46850,0,0,RED,,,Basic,Gas V8,16005,,,,2dr Conv,,,U
19003,327,1GNDU23L36D193597,PD193597,2006,Chevrolet,Uplander,12497,0,0,WHITE,,Automatic,LS,Gas V6,30840,,,,4dr Reg WB FWD LS,"http://images.webmakerx.net/InventoryPhotos/1GND/U23L/36D/1GNDU23L36D193597/1GNDU23L36D193597_1.jpg",Air Conditioning; Cruise Control; Driver Side Air Bag; Passenger Side Air Bag; Power Locks; Power Steering; Power Windows; Tilt Wheel,U
5291,1058,JM1BK12F461454605,MU2301,2006,Mazda,MAZDA3,0,0,0,SILVER,BLACK,Automatic,i,Gas I4,39241,4,,,4dr Sdn i Auto,"http://images.webmakerx.net/InventoryPhotos/JM1B/K12F/461/JM1BK12F461454605/JM1BK12F461454605_1.jpg",Am/Fm Stereo; Bucket Seats; Cloth Seats; Cruise Control; Front Wheel Drive; Passenger Air Bag; Power Door Locks; Power Mirrors; Power Steering; Power Windows; Rear Defrost; Wheel Covers; Driver Air Bag; Intermittent Wipers; Steering Wheel Controls; Compact Disc; Compact Spare Tire; Child Safety Locks; 4 Cylinder Engine; Passenger Air Bag On/Off Switch; 4-speed A/T; 4-wheel Disc Brakes; Adjustable Steering Wheel; Auxiliary Pwr Outlet; Collapsible Steering Column; Day/Night Rearview Mirror; Driver Vanity Mirror; Emergency Trunk Release; Gasoline Fuel; Pass-through Rear Seat; Passenger Vanity Mirror; Rear Seat Heat Ducts; Vehicle Anti-theft System; Steel Wheels; Green Tinted Glass; Red-lens Taillights; 14~5 Gallon Fuel Tank; Roof-mounted Mast-type Antenna; Clear-lens Halogen Headlights W/Silver-color Headlight Bezels; Driver Side Storage Bin; Patterned-type Center Windshield Sunshade; White-lens Oval Type Side Repeater Lights,U
19004,327,1FAFP53U05A309783,PA309783,2005,Ford,Taurus,9450,0,0,WHITE,,,SE,Gas V6,42443,,,,4dr Sdn SE,"http://images.webmakerx.net/InventoryPhotos/1FAF/P53U/05A/1FAFP53U05A309783/1FAFP53U05A309783_1.jpg",,U
