DealerID","UsedNew","Certified","Year","Make","Model","Trim","StockNumber","VIN","Mileage","Price","Engine","Tramsission","Color","Interior","Images","Comment","Options"
"900","U","N","2007","Subaru","Legacy","2.5 GT Limited","3693A","4S3BL676X74202067","1048","27670","B4 2.5L","Automatic 5 Speed","Newport Blue Pearl","Taupe w/Perforated Leather-Trimmed Seat Upholstery","http://images.vinmanager.com/DealerPics/Dealer900/4S3BL676X74202067.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S3BL676X74202067_00.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S3BL676X74202067_01.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S3BL676X74202067_02.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S3BL676X74202067_03.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S3BL676X74202067_04.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S3BL676X74202067_05.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S3BL676X74202067_06.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S3BL676X74202067_07.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S3BL676X74202067_08.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S3BL676X74202067_09.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S3BL676X74202067_10.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S3BL676X74202067_11.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S3BL676X74202067_12.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S3BL676X74202067_13.jpg","*****NEWPORT BLUE***OWNED FOR TWO WEEKS BEFORE BEING TRADED ON 07 LEGACY GT SPEC.B****LIKE NEW CONDITION***VERY LOW MILES***CALL FOR YOUR APPOINTMENT*******  <b>For a chance to WIN THIS CAR* set your appointment with the Internet Sales Department TODAY!</b> <br><br> Contact our Internet Sales Department for your next Certified Pre-Owned Volkswagen or Subaru featuring New Car Rates. <br><br> Ask about our select Tom Wood Certified Pre-Owned vehicles with a 12 month / 12000 miles drive train warranty.  Model restrictions apply to Tom Wood Certified Pre-Owned Warranty. <br><br> For special internet prices call for an appointment! <br><br> * No purchase necessary some restrictions apply.  Contact the Internet Sales Department for details.","2.5 liter flat 4 cylinder DOHC engine with variable valve timing, 243 horsepower, 4 Doors, 4-way power adjustable passenger seat, 4-wheel ABS brakes, 4WD Type - Full-time, 8-way power adjustable drivers seat, Air conditioning with dual zone climate control, All-wheel drive, Automatic Transmission, Climate controlled - Driver and passenger heated-cushion; driver and passenger heated-seatback, Compressor - Intercooled turbo, Cruise control, Daytime running lights, External temperature display, Front fog/driving lights, Front seat type - Sports, Fuel economy EPA highway (mpg): 29 and EPA city (mpg): 22, Head airbags - Curtain 1st and 2nd row, Heated drivers seat, Heated passenger seat, Heated Windshield Washer Jets - Wiper park, Intermittent window wipers, Leather seats, Limited slip differential - Viscous, Multi-function remote - Trunk/hatch/door, Passenger Airbag, Power heated mirrors, Power windows with 1 one-touch, Privacy/tinted glass, Rear bench seats, Rear wiper, Remote power door locks, Signal mirrors - Turn signal in mirrors, Speed-proportional power steering, Sunroof - Express open/close glass, Tachometer, Tilt steering wheel"
"900","U","N","1996","Subaru","Impreza","L","3728A","JF1GC4357TG510514","181280","3480","B4 2.2L SOHC","Manual 5 Speed","Green","","http://images.vinmanager.com/DealerPics/Dealer900/JF1GC4357TG510514.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GC4357TG510514_00.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GC4357TG510514_01.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GC4357TG510514_02.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GC4357TG510514_03.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GC4357TG510514_04.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GC4357TG510514_05.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GC4357TG510514_06.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GC4357TG510514_07.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GC4357TG510514_08.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GC4357TG510514_09.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GC4357TG510514_10.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GC4357TG510514_11.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GC4357TG510514_12.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GC4357TG510514_13.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GC4357TG510514_14.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GC4357TG510514_15.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GC4357TG510514_16.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GC4357TG510514_17.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GC4357TG510514_18.jpg","<b>For a chance to WIN THIS CAR* set your appointment with the Internet Sales Department TODAY!</b> <br><br> Contact our Internet Sales Department for your next Certified Pre-Owned Volkswagen or Subaru featuring New Car Rates. <br><br> Ask about our select Tom Wood Certified Pre-Owned vehicles with a 12 month / 12000 miles drive train warranty.  Model restrictions apply to Tom Wood Certified Pre-Owned Warranty. <br><br> For special internet prices call for an appointment! <br><br> * No purchase necessary some restrictions apply.  Contact the Internet Sales Department for details.","137 horsepower, 2.2 liter flat 4 cylinder SOHC engine, 4 Doors, 4WD Type - Full-time, Air conditioning, Center Console - Full, Four-wheel drive, Front seat type - Bucket, Intermittent window wipers, Passenger Airbag, Power door locks, Power mirrors, Rear defogger, Speed-proportional power steering, Tachometer, Tilt steering wheel"
"900","U","N","2005","Nissan","Altima","SL","3772A","1N4BL11D95L359608","14523","19180","V6 3.5L","Manual 5 Speed","Beige","","http://images.vinmanager.com/DealerPics/Dealer900/1N4BL11D95L359608.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1N4BL11D95L359608_00.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1N4BL11D95L359608_01.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1N4BL11D95L359608_02.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1N4BL11D95L359608_03.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1N4BL11D95L359608_04.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1N4BL11D95L359608_05.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1N4BL11D95L359608_06.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1N4BL11D95L359608_07.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1N4BL11D95L359608_08.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1N4BL11D95L359608_09.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1N4BL11D95L359608_10.jpg","*****AUTOMATIC***3.5SL***LEATHER***V6***BOSE PREMIUM SOUND***<b>For a chance to WIN THIS CAR* set your appointment with the Internet Sales Department TODAY!</b> <br><br> Contact our Internet Sales Department for your next Certified Pre-Owned Volkswagen or Subaru featuring New Car Rates. <br><br> Ask about our select Tom Wood Certified Pre-Owned vehicles with a 12 month / 12000 miles drive train warranty.  Model restrictions apply to Tom Wood Certified Pre-Owned Warranty. <br><br> For special internet prices call for an appointment! <br><br> * No purchase necessary some restrictions apply.  Contact the Internet Sales Department for details.",""
"900","U","N","2001","Chevrolet","S10","","3780A","1GCCS145418142082","67092","6981","L4 2.2L E85 FFV","Automatic 4 Speed","Beige","","http://images.vinmanager.com/DealerPics/Dealer900/1GCCS145418142082.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1GCCS145418142082_00.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1GCCS145418142082_01.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1GCCS145418142082_02.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1GCCS145418142082_03.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1GCCS145418142082_04.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1GCCS145418142082_05.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1GCCS145418142082_06.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1GCCS145418142082_07.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1GCCS145418142082_08.jpg","<b>For a chance to WIN THIS CAR* set your appointment with the Internet Sales Department TODAY!</b> <br><br> Contact our Internet Sales Department for your next Certified Pre-Owned Volkswagen or Subaru featuring New Car Rates. <br><br> Ask about our select Tom Wood Certified Pre-Owned vehicles with a 12 month / 12000 miles drive train warranty.  Model restrictions apply to Tom Wood Certified Pre-Owned Warranty. <br><br> For special internet prices call for an appointment! <br><br> * No purchase necessary some restrictions apply.  Contact the Internet Sales Department for details.","2 Doors, 4-wheel ABS brakes, Clock - In-radio, Daytime running lights, Dusk sensing headlights, Intermittent window wipers, Passenger Airbag - Cancellable, Power windows, Rear-wheel drive, Speed-proportional power steering"
"900","U","N","2003","Subaru","Baja","","3802A","4S4BT61C937108569","51124","13380","B4 2.5L","Automatic 4 Speed","Regatta Red Pearl/Silver Stone Metallic","Medium Gray w/Leather Seat Trim","http://images.vinmanager.com/DealerPics/Dealer900/4S4BT61C937108569.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S4BT61C937108569_00.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S4BT61C937108569_01.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S4BT61C937108569_02.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S4BT61C937108569_03.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S4BT61C937108569_04.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S4BT61C937108569_05.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S4BT61C937108569_06.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S4BT61C937108569_07.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S4BT61C937108569_08.jpg","<b>For a chance to WIN THIS CAR* set your appointment with the Internet Sales Department TODAY!</b> <br><br> Contact our Internet Sales Department for your next Certified Pre-Owned Volkswagen or Subaru featuring New Car Rates. <br><br> Ask about our select Tom Wood Certified Pre-Owned vehicles with a 12 month / 12000 miles drive train warranty.  Model restrictions apply to Tom Wood Certified Pre-Owned Warranty. <br><br> For special internet prices call for an appointment! <br><br> * No purchase necessary some restrictions apply.  Contact the Internet Sales Department for details.","165 horsepower, 2.5 liter flat 4 cylinder SOHC engine, 4 Doors, 4-wheel ABS brakes, 4WD Type - Full-time, 6-way power adjustable drivers seat, Air conditioning, All-wheel drive, Bed Length - 41.5, Center Console - Full with covered storage, Chrome grill, Clock - In-dash, Cruise control, Daytime running lights, External temperature display, Front fog/driving lights, Front seat type - Bucket, Intermittent window wipers, Leather seats, Limited slip differential - Viscous, Overhead console - Mini, Passenger Airbag, Pickup Bed Type - Regular, Power Activated Trunk/Hatch - Tailgate and middle-gate, Power heated mirrors, Power windows with 1 one-touch, Privacy/tinted glass, Rear bench seats, Rear defogger, Remote power door locks, Roof rack, Speed-proportional power steering, Sunroof - power glass, Tachometer, Tilt steering wheel"
"900","U","N","2005","Subaru","Impreza","WRX","3810A","JF1GG29695H805152","30001","18940","B4 2.0L Turbo","Automatic 4 Speed","Red","","http://images.vinmanager.com/DealerPics/Dealer900/JF1GG29695H805152.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GG29695H805152_00.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GG29695H805152_01.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GG29695H805152_02.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GG29695H805152_03.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GG29695H805152_04.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GG29695H805152_05.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GG29695H805152_06.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GG29695H805152_07.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GG29695H805152_08.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GG29695H805152_09.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GG29695H805152_10.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GG29695H805152_11.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GG29695H805152_12.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GG29695H805152_13.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GG29695H805152_14.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GG29695H805152_15.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GG29695H805152_16.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JF1GG29695H805152_17.jpg","<b>For a chance to WIN THIS CAR* set your appointment with the Internet Sales Department TODAY!</b> <br><br> Contact our Internet Sales Department for your next Certified Pre-Owned Volkswagen or Subaru featuring New Car Rates. <br><br> Ask about our select Tom Wood Certified Pre-Owned vehicles with a 12 month / 12000 miles drive train warranty.  Model restrictions apply to Tom Wood Certified Pre-Owned Warranty. <br><br> For special internet prices call for an appointment! <br><br> * No purchase necessary some restrictions apply.  Contact the Internet Sales Department for details.","2.0 liter flat 4 cylinder DOHC engine, 227 horsepower, 4 Doors, 4-wheel ABS brakes, 4WD Type - Full-time, Air conditioning, All-wheel drive, Center Console - Full with covered storage, Compressor - Intercooled turbo, Cruise control, Daytime running lights, Front fog/driving lights, Front seat type - Sports, Intermittent window wipers, Limited slip differential - Viscous, Passenger Airbag, Power mirrors, Power windows with 1 one-touch, Privacy/tinted glass, Rear bench seats, Rear defogger, Rear spoiler - Wing, Rear wiper, Remote power door locks, Speed-proportional power steering, Tachometer, Tilt steering wheel"
"900","U","N","2002","Chrysler","Sebring","LX","3843B","1C3EL46R22N212399","66137","8481","V6 2.7L DOHC 24V","Automatic 4 Speed","Deep Sapphire Blue Pearlcoat","Dark Slate Gray w/Cloth Low-Back Bucket Seats","http://images.vinmanager.com/DealerPics/Dealer900/1C3EL46R22N212399.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1C3EL46R22N212399_00.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1C3EL46R22N212399_01.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1C3EL46R22N212399_02.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1C3EL46R22N212399_03.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1C3EL46R22N212399_04.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1C3EL46R22N212399_05.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1C3EL46R22N212399_06.jpg,http://images.vinmanager.com/DealerPics/Dealer900/1C3EL46R22N212399_07.jpg","<b>For a chance to WIN THIS CAR* set your appointment with the Internet Sales Department TODAY!</b> <br><br> Contact our Internet Sales Department for your next Certified Pre-Owned Volkswagen or Subaru featuring New Car Rates. <br><br> Ask about our select Tom Wood Certified Pre-Owned vehicles with a 12 month / 12000 miles drive train warranty.  Model restrictions apply to Tom Wood Certified Pre-Owned Warranty. <br><br> For special internet prices call for an appointment! <br><br> * No purchase necessary some restrictions apply.  Contact the Internet Sales Department for details.","4 Doors, Air conditioning, Automatic Transmission, Center Console - Full with covered storage, Chrome grill, Clock - In-radio, Front seat type - Bucket, Front-wheel drive, Intermittent window wipers, Passenger Airbag, Power door locks, Power mirrors, Power steering, Power windows with 1 one-touch, Privacy/tinted glass, Rear bench seats, Rear defogger, Speed sensitive window wipers, Tachometer, Tilt steering wheel"
"900","U","N","2006","Subaru","B9 Tribeca","","3850A","4S4WX86C664402463","65305","21202","B6 3.0L DOHC","Automatic 5 Speed","Champagne","","http://images.vinmanager.com/DealerPics/Dealer900/4S4WX86C664402463.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S4WX86C664402463_00.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S4WX86C664402463_01.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S4WX86C664402463_02.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S4WX86C664402463_03.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S4WX86C664402463_04.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S4WX86C664402463_05.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S4WX86C664402463_06.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S4WX86C664402463_07.jpg,http://images.vinmanager.com/DealerPics/Dealer900/4S4WX86C664402463_08.jpg","*****CARFAX CERTIFIED 1 OWNER***7 PASSENGER LIMITED***NAVIGATION***LEATHER***SUNROOF***AUTOMATIC******   <b>For a chance to WIN THIS CAR* set your appointment with the Internet Sales Department TODAY!</b> <br><br> Contact our Internet Sales Department for your next Certified Pre-Owned Volkswagen or Subaru featuring New Car Rates. <br><br> Ask about our select Tom Wood Certified Pre-Owned vehicles with a 12 month / 12000 miles drive train warranty.  Model restrictions apply to Tom Wood Certified Pre-Owned Warranty. <br><br> For special internet prices call for an appointment! <br><br> * No purchase necessary some restrictions apply.  Contact the Internet Sales Department for details.","250 horsepower, 3.0 liter flat 6 cylinder DOHC engine with variable valve timing, 4 Doors, 4-way power adjustable passenger seat, 4-wheel ABS brakes, 4WD Type - Full-time, 8-way power adjustable drivers seat, Air conditioning with dual zone climate control, All-wheel drive, Audio controls on steering wheel, Automatic Transmission, Chrome grill, Clock - In-dash, Cruise control, Daytime running lights, External temperature display, Front fog/driving lights, Front seat type - Bucket, Head airbags - Curtain 1st and 2nd row, Heated Windshield Washer Jets - Wiper park, Interior air filtration, Intermittent window wipers, Multi-function remote - Trunk/hatch/door, Overhead console - Mini with storage, Passenger Airbag, Power heated mirrors, Power windows with 1 one-touch, Privacy/tinted glass, Rear spoiler - Lip, Rear wiper, Reclining rear seats, Remote power door locks, Speed-proportional power steering, Split-bench rear seats, Stability control, Tachometer, Tilt steering wheel, Traction control - ABS and driveline, Trip computer, Universal remote transmitter"
"900","U","N","2005","Toyota","4Runner","Limited","3852A","JTEBT17R158021373","69372","24981","V8 4.7L","Automatic 5 Speed","Dorado Gold Pearl","","http://images.vinmanager.com/DealerPics/Dealer900/JTEBT17R158021373.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JTEBT17R158021373_00.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JTEBT17R158021373_01.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JTEBT17R158021373_02.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JTEBT17R158021373_03.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JTEBT17R158021373_04.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JTEBT17R158021373_05.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JTEBT17R158021373_06.jpg,http://images.vinmanager.com/DealerPics/Dealer900/JTEBT17R158021373_07.jpg","*****CARFAX CERTIFIED 1 OWNER***DORADO GOLD PEARL***4X4 LIMITED***LEATHER***SUNROOF***CLEAN CAR*****   <b>For a chance to WIN THIS CAR* set your appointment with the Internet Sales Department TODAY!</b> <br><br> Contact our Internet Sales Department for your next Certified Pre-Owned Volkswagen or Subaru featuring New Car Rates. <br><br> Ask about our select Tom Wood Certified Pre-Owned vehicles with a 12 month / 12000 miles drive train warranty.  Model restrictions apply to Tom Wood Certified Pre-Owned Warranty. <br><br> For special internet prices call for an appointment! <br><br> * No purchase necessary some restrictions apply.  Contact the Internet Sales Department for details.","270 horsepower, 4 Doors, 4-wheel ABS brakes, 4.7 liter V8 DOHC engine with variable valve timing, 4WD Type - Full-time, Automatic Transmission, Center Console - Full with covered storage, Clock - In-dash, Cruise control, External temperature display, Four-wheel drive, Front fog/driving lights, Front seat type - Bucket, Interior air filtration, Intermittent window wipers, Multi-function remote - Windows, Overhead console - Mini with storage, Passenger Airbag, Power windows with 1 one-touch, Privacy/tinted glass, Rear defogger, Rear wiper, Remote power door locks, Remote window operation - Rear window only, Skid plates - 3, Speed-proportional power steering, Split-bench rear seats, Stability control, Tachometer, Traction control - ABS and driveline, Trailer hitch, Transmission hill holder, Trip computer"
"900","U","N","1998","Ford","Windstar","","3858A","2FMZA51U6WBD40257","88997","3981","V6 3.0L OHV 12V EFI","Automatic 4 Speed","Silver","","http://images.vinmanager.com/DealerPics/Dealer900/2FMZA51U6WBD40257.jpg,http://images.vinmanager.com/DealerPics/Dealer900/2FMZA51U6WBD40257_00.jpg,http://images.vinmanager.com/DealerPics/Dealer900/2FMZA51U6WBD40257_01.jpg,http://images.vinmanager.com/DealerPics/Dealer900/2FMZA51U6WBD40257_02.jpg,http://images.vinmanager.com/DealerPics/Dealer900/2FMZA51U6WBD40257_03.jpg,http://images.vinmanager.com/DealerPics/Dealer900/2FMZA51U6WBD40257_04.jpg,http://images.vinmanager.com/DealerPics/Dealer900/2FMZA51U6WBD40257_05.jpg,http://images.vinmanager.com/DealerPics/Dealer900/2FMZA51U6WBD40257_06.jpg,http://images.vinmanager.com/DealerPics/Dealer900/2FMZA51U6WBD40257_07.jpg","<b>For a chance to WIN THIS CAR* set your appointment with the Internet Sales Department TODAY!</b> <br><br> Contact our Internet Sales Department for your next Certified Pre-Owned Volkswagen or Subaru featuring New Car Rates. <br><br> Ask about our select Tom Wood Certified Pre-Owned vehicles with a 12 month / 12000 miles drive train warranty.  Model restrictions apply to Tom Wood Certified Pre-Owned Warranty. <br><br> For special internet prices call for an appointment! <br><br> * No purchase necessary some restrictions apply.  Contact the Internet Sales Department for details.","3 Doors, 4-wheel ABS brakes, Automatic Transmission, Clock - In-radio, Front seat type - Bucket, Front-wheel drive, Intermittent window wipers, Passenger Airbag, Power steering, Rear wiper, Third row seats"
